Sample	percent_aligned	meth_chg	dup_reads_percent	strand_ot	strand_ob	dup_reads	discarded_reads	dedup_reads	percent_chg_meth	meth_chh	percent_cpg_meth	total_c	meth_cpg	percent_chh_meth	strand_ctot	aligned_reads	unmeth_cpg	total_reads	strand_ctob	ambig_reads	no_alignments	strand_directional	unmeth_chh	dedup_reads_percent	unmeth_chg
MethylC-Seq_mm_fc_10wk_SRR921784_1	74.4345495602	1379224.0	4.03	12616356.0	12407001.0	1007281.0	2.0	24016076.0	1.5	4795839.0	75.3	353373074.0	12502162.0	2.0	0.0	25023357.0	4092466.0	33617933.0	0.0	4964506.0	3630068.0	directional	240260815.0	95.97	90342568.0
MethylC-Seq_mm_fc_10wk_SRR921785_1	75.9922184682	3369415.0	5.26	27109280.0	26538087.0	2822726.0	6.0	50824641.0	1.4	11824634.0	75.0	907230026.0	31942388.0	1.9	0.0	53647367.0	10638779.0	70595869.0	0.0	9400071.0	7548425.0	directional	617746826.0	94.74	231707984.0
MethylC-Seq_mm_fc_10wk_SRR921786_1	75.8236263168	3141990.0	5.23	26483684.0	25942936.0	2739471.0	7.0	49687149.0	1.4	11065984.0	75.1	851179600.0	29997684.0	1.9	0.0	52426620.0	9926483.0	69142855.0	0.0	9649208.0	7067020.0	directional	579658515.0	94.77	217388944.0
MethylC-Seq_mm_fc_10wk_SRR921787_1	75.9413380566	3028554.0	5.25	24603042.0	24069471.0	2554732.0	7.0	46117781.0	1.4	10664028.0	75.1	821642249.0	28898848.0	1.9	0.0	48672513.0	9596169.0	64092251.0	0.0	8571090.0	6848641.0	directional	559628321.0	94.75	209826329.0
MethylC-Seq_mm_fc_1wk_SRR921767_1	86.0203731216	1811762.0	2.91	43105354.0	42865443.0	2505631.0	40.0	83465166.0	0.5	6342884.0	77.0	1567978762.0	45027781.0	0.5	0.0	85970797.0	13443163.0	99942367.0	0.0	10874570.0	3096960.0	directional	1169279026.0	97.09	332074146.0
MethylC-Seq_mm_fc_1wk_SRR921768_1	85.7438916513	1801911.0	2.9	42966351.0	42723937.0	2484308.0	39.0	83205980.0	0.5	6303584.0	77.0	1559936769.0	44808244.0	0.5	0.0	85690288.0	13403348.0	99937484.0	0.0	10857715.0	3389442.0	directional	1162863561.0	97.1	330756121.0
MethylC-Seq_mm_fc_1wk_SRR921769_1	85.6966905357	374888.0	1.65	8770492.0	8711692.0	287686.0	4.0	17194498.0	0.5	1309578.0	77.0	321444403.0	9279423.0	0.5	0.0	17482184.0	2771305.0	20400069.0	0.0	2200340.0	717541.0	directional	239593620.0	98.35	68115589.0
MethylC-Seq_mm_fc_1wk_SRR921770_1	85.928040182	1812592.0	2.91	43061055.0	42819247.0	2498381.0	26.0	83381921.0	0.5	6320794.0	77.0	1562840273.0	44827612.0	0.5	0.0	85880302.0	13404041.0	99944444.0	0.0	10884757.0	3179359.0	directional	1165167201.0	97.09	331308033.0
MethylC-Seq_mm_fc_22mo_SRR921797_1	77.2805449768	3511901.0	5.54	34203523.0	34095086.0	3781779.0	29.0	64516830.0	1.5	13743405.0	77.5	1020900641.0	33700259.0	1.9	0.0	68298609.0	9757786.0	88377494.0	0.0	12510963.0	7567893.0	directional	726614563.0	94.46	233572727.0
MethylC-Seq_mm_fc_22mo_SRR921798_1	76.5101466267	3751166.0	5.11	36864655.0	36711150.0	3760444.0	32.0	69815361.0	1.5	14706472.0	77.9	1078264600.0	35598714.0	1.9	0.0	73575805.0	10123431.0	96164768.0	0.0	13814926.0	8774005.0	directional	767440777.0	94.89	246644040.0
