Sample	aligned_reads	ambig_reads	discarded_reads	meth_chg	meth_chh	meth_cpg	no_alignments	percent_aligned	percent_chg_meth	percent_chh_meth	percent_cpg_meth	strand_ctob	strand_ctot	strand_directional	strand_ob	strand_ot	total_c	total_reads	unmeth_chg	unmeth_chh	unmeth_cpg
MethylC-Seq_mm_fc_10wk_SRR921784_1	25023359.0	4964506.0	2.0	1402197.0	4886438.0	14343207.0	3630068.0	74.4345555094	1.5	1.9	76.0	0.0	0.0	directional	12407001.0	12616356.0	365853232.0	33617933.0	92823510.0	247876143.0	4521737.0
MethylC-Seq_mm_fc_10wk_SRR921785_1	53647373.0	9400071.0	6.0	3452826.0	12314084.0	37796408.0	7548425.0	75.9922269673	1.4	1.9	75.7	0.0	0.0	directional	26538087.0	27109280.0	951270886.0	70595869.0	240667548.0	644939127.0	12100893.0
MethylC-Seq_mm_fc_10wk_SRR921786_1	52426627.0	9649208.0	7.0	3218729.0	11488659.0	35476659.0	7067020.0	75.8236364408	1.4	1.9	75.9	0.0	0.0	directional	25942936.0	26483684.0	891971849.0	69142855.0	225700407.0	604793182.0	11294213.0
MethylC-Seq_mm_fc_10wk_SRR921787_1	48672520.0	8571090.0	7.0	3101956.0	11106086.0	34251349.0	6848641.0	75.9413489784	1.4	1.9	75.8	0.0	0.0	directional	24069471.0	24603042.0	861367027.0	64092251.0	217870390.0	584110435.0	10926811.0
MethylC-Seq_mm_fc_1wk_SRR921767_1	85970837.0	10874570.0	40.0	1872919.0	6627385.0	48410817.0	3096960.0	86.0204131447	0.5	0.5	77.2	0.0	0.0	directional	42865443.0	43105354.0	1609945962.0	99942367.0	340247268.0	1198450302.0	14337271.0
MethylC-Seq_mm_fc_1wk_SRR921768_1	85690327.0	10857715.0	39.0	1861779.0	6584752.0	48152573.0	3389442.0	85.7439306757	0.5	0.5	77.1	0.0	0.0	directional	42723937.0	42966351.0	1601467168.0	99937484.0	338854830.0	1191721220.0	14292014.0
MethylC-Seq_mm_fc_1wk_SRR921769_1	17482188.0	2200340.0	4.0	382486.0	1349951.0	9840690.0	717541.0	85.6967101435	0.6	0.6	77.2	0.0	0.0	directional	8711692.0	8770492.0	326018397.0	20400069.0	68965476.0	242580642.0	2899152.0
MethylC-Seq_mm_fc_1wk_SRR921770_1	85880328.0	10884757.0	26.0	1872979.0	6602284.0	48204032.0	3179359.0	85.9280661965	0.5	0.5	77.1	0.0	0.0	directional	42819247.0	43061055.0	1604547987.0	99944444.0	339441953.0	1194128056.0	14298683.0
MethylC-Seq_mm_fc_22mo_SRR921797_1	68298638.0	12510963.0	29.0	3657427.0	14345939.0	38179007.0	7567893.0	77.2805777905	1.5	1.8	77.3	0.0	0.0	directional	34095086.0	34203523.0	1076064448.0	88377494.0	244958991.0	763690125.0	11232959.0
MethylC-Seq_mm_fc_22mo_SRR921798_1	73575837.0	13814926.0	32.0	3887221.0	15279519.0	40184636.0	8774005.0	76.5101799029	1.5	1.9	77.6	0.0	0.0	directional	36711150.0	36864655.0	1131464548.0	96164768.0	257514259.0	802969014.0	11629899.0
MethylC-Seq_mm_fc_22mo_SRR921799_1	73250698.0	13841962.0	25.0	3854295.0	15160793.0	39823313.0	9064576.0	76.1780403089	1.5	1.9	77.5	0.0	0.0	directional	36550097.0	36700576.0	1121241586.0	96157236.0	255265126.0	795606110.0	11531949.0
MethylC-Seq_mm_fc_22mo_SRR921800_1	15011560.0	2864094.0	4.0	782461.0	3073575.0	8045978.0	1968738.0	75.646358931	1.5	1.9	77.6	0.0	0.0	directional	7493252.0	7518304.0	226688998.0	19844392.0	51586603.0	160871893.0	2328488.0
MethylC-Seq_mm_fc_2wk_SRR921694_1	120059544.0	20954714.0	19.0	4976648.0	16015321.0	88264379.0	12078510.0	78.4227403871	0.9	1.1	76.4	0.0	0.0	directional	59311948.0	60747577.0	2050033670.0	153092768.0	528140316.0	1385298718.0	27338288.0
MethylC-Seq_mm_fc_2wk_SRR921695_1	120235451.0	21004325.0	10.0	4983440.0	16036856.0	88328643.0	12132257.0	78.3946386105	0.9	1.1	76.4	0.0	0.0	directional	59401575.0	60833866.0	2052042902.0	153372033.0	528630157.0	1386714516.0	27349290.0
MethylC-Seq_mm_fc_2wk_SRR921696_1	89616441.0	16932038.0	6.0	3485852.0	11271838.0	60606273.0	9698581.0	77.0913612783	0.9	1.1	76.3	0.0	0.0	directional	44313762.0	45302673.0	1442198467.0	116247060.0	367405979.0	980597710.0	18830815.0
MethylC-Seq_mm_fc_2wk_SRR921773_1	97745852.0	18822330.0	4.0	3746414.0	12200224.0	64856205.0	11557697.0	76.2889220842	0.9	1.1	76.4	0.0	0.0	directional	48330368.0	49415480.0	1556887362.0	128125879.0	394817230.0	1061192680.0	20074609.0
