Sample	aligned_reads	dedup_reads	dedup_reads_percent	dup_reads	dup_reads_percent
MethylC-Seq_mm_fc_10wk_SRR921784_1	25023357.0	24016076.0	95.97	1007281.0	4.03
MethylC-Seq_mm_fc_10wk_SRR921785_1	53647367.0	50824641.0	94.74	2822726.0	5.26
MethylC-Seq_mm_fc_10wk_SRR921786_1	52426620.0	49687149.0	94.77	2739471.0	5.23
MethylC-Seq_mm_fc_10wk_SRR921787_1	48672513.0	46117781.0	94.75	2554732.0	5.25
MethylC-Seq_mm_fc_1wk_SRR921767_1	85970797.0	83465166.0	97.09	2505631.0	2.91
MethylC-Seq_mm_fc_1wk_SRR921768_1	85690288.0	83205980.0	97.1	2484308.0	2.9
MethylC-Seq_mm_fc_1wk_SRR921769_1	17482184.0	17194498.0	98.35	287686.0	1.65
MethylC-Seq_mm_fc_1wk_SRR921770_1	85880302.0	83381921.0	97.09	2498381.0	2.91
MethylC-Seq_mm_fc_22mo_SRR921797_1	68298609.0	64516830.0	94.46	3781779.0	5.54
MethylC-Seq_mm_fc_22mo_SRR921798_1	73575805.0	69815361.0	94.89	3760444.0	5.11
MethylC-Seq_mm_fc_22mo_SRR921799_1	73250673.0	69545302.0	94.94	3705371.0	5.06
MethylC-Seq_mm_fc_22mo_SRR921800_1	15011556.0	14533407.0	96.81	478149.0	3.19
MethylC-Seq_mm_fc_2wk_SRR921694_1	120059525.0	111688896.0	93.03	8370629.0	6.97
MethylC-Seq_mm_fc_2wk_SRR921695_1	120235441.0	111849677.0	93.03	8385764.0	6.97
MethylC-Seq_mm_fc_2wk_SRR921696_1	89616435.0	84134391.0	93.88	5482044.0	6.12
MethylC-Seq_mm_fc_2wk_SRR921773_1	97745848.0	91566412.0	93.68	6179436.0	6.32
MethylC-Seq_mm_fc_4wk_SRR921697_1	100956774.0	94412227.0	93.52	6544547.0	6.48
MethylC-Seq_mm_fc_4wk_SRR921698_1	103030781.0	96143582.0	93.32	6887199.0	6.68
MethylC-Seq_mm_fc_4wk_SRR921699_1	103961465.0	97009723.0	93.31	6951742.0	6.69
MethylC-Seq_mm_fc_4wk_SRR921700_1	131431110.0	121915342.0	92.76	9515768.0	7.24
MethylC-Seq_mm_fc_6wk_SRR921778_1	97603957.0	91448503.0	93.69	6155454.0	6.31
MethylC-Seq_mm_fc_6wk_SRR921779_1	103519473.0	96791935.0	93.5	6727538.0	6.5
MethylC-Seq_mm_fc_6wk_SRR921780_1	105017644.0	98185463.0	93.49	6832181.0	6.51
MethylC-Seq_mm_fc_6wk_SRR921781_1	131957273.0	122503963.0	92.84	9453310.0	7.16
