Sample	meth_chg	meth_chh	meth_cpg	percent_chg_meth	percent_chh_meth	percent_cpg_meth	total_c	unmeth_chg	unmeth_chh	unmeth_cpg
MethylC-Seq_mm_fc_10wk_SRR921784_1	1379224.0	4795839.0	12502162.0	1.5	2.0	75.3	353373074.0	90342568.0	240260815.0	4092466.0
MethylC-Seq_mm_fc_10wk_SRR921785_1	3369415.0	11824634.0	31942388.0	1.4	1.9	75.0	907230026.0	231707984.0	617746826.0	10638779.0
MethylC-Seq_mm_fc_10wk_SRR921786_1	3141990.0	11065984.0	29997684.0	1.4	1.9	75.1	851179600.0	217388944.0	579658515.0	9926483.0
MethylC-Seq_mm_fc_10wk_SRR921787_1	3028554.0	10664028.0	28898848.0	1.4	1.9	75.1	821642249.0	209826329.0	559628321.0	9596169.0
MethylC-Seq_mm_fc_1wk_SRR921767_1	1811762.0	6342884.0	45027781.0	0.5	0.5	77.0	1567978762.0	332074146.0	1169279026.0	13443163.0
MethylC-Seq_mm_fc_1wk_SRR921768_1	1801911.0	6303584.0	44808244.0	0.5	0.5	77.0	1559936769.0	330756121.0	1162863561.0	13403348.0
MethylC-Seq_mm_fc_1wk_SRR921769_1	374888.0	1309578.0	9279423.0	0.5	0.5	77.0	321444403.0	68115589.0	239593620.0	2771305.0
MethylC-Seq_mm_fc_1wk_SRR921770_1	1812592.0	6320794.0	44827612.0	0.5	0.5	77.0	1562840273.0	331308033.0	1165167201.0	13404041.0
MethylC-Seq_mm_fc_22mo_SRR921797_1	3511901.0	13743405.0	33700259.0	1.5	1.9	77.5	1020900641.0	233572727.0	726614563.0	9757786.0
MethylC-Seq_mm_fc_22mo_SRR921798_1	3751166.0	14706472.0	35598714.0	1.5	1.9	77.9	1078264600.0	246644040.0	767440777.0	10123431.0
MethylC-Seq_mm_fc_22mo_SRR921799_1	3721280.0	14599561.0	35310751.0	1.5	1.9	77.9	1069026087.0	244599036.0	760750811.0	10044648.0
MethylC-Seq_mm_fc_22mo_SRR921800_1	768984.0	3011731.0	7292290.0	1.5	1.9	77.7	220247993.0	50371061.0	156709830.0	2094097.0
MethylC-Seq_mm_fc_2wk_SRR921694_1	4731636.0	14906573.0	74456543.0	0.9	1.1	75.7	1928202931.0	500040303.0	1310219075.0	23848801.0
MethylC-Seq_mm_fc_2wk_SRR921695_1	4738195.0	14929689.0	74520126.0	0.9	1.1	75.8	1930076424.0	500496609.0	1311536907.0	23854898.0
MethylC-Seq_mm_fc_2wk_SRR921696_1	3340228.0	10598154.0	51721327.0	0.9	1.1	75.7	1366729142.0	350489608.0	933986359.0	16593466.0
MethylC-Seq_mm_fc_2wk_SRR921773_1	3583627.0	11458218.0	55160868.0	0.9	1.1	75.8	1472451692.0	375850399.0	1008780922.0	17617658.0
MethylC-Seq_mm_fc_4wk_SRR921697_1	7197261.0	25612101.0	55162015.0	1.9	2.4	78.5	1513414151.0	372785802.0	1037543147.0	15113825.0
MethylC-Seq_mm_fc_4wk_SRR921698_1	7776698.0	27496001.0	59007337.0	1.9	2.5	78.6	1586700464.0	394537219.0	1081840020.0	16043189.0
MethylC-Seq_mm_fc_4wk_SRR921699_1	7822675.0	27662961.0	59496091.0	1.9	2.5	78.6	1601669598.0	398412414.0	1092030460.0	16244997.0
MethylC-Seq_mm_fc_4wk_SRR921700_1	10162664.0	35395685.0	79085722.0	1.9	2.4	78.2	2103894910.0	528340888.0	1428881842.0	22028109.0
MethylC-Seq_mm_fc_6wk_SRR921778_1	5666320.0	20821506.0	48097120.0	1.7	2.1	79.3	1411512666.0	333723292.0	990631194.0	12573234.0
MethylC-Seq_mm_fc_6wk_SRR921779_1	6371999.0	23175579.0	54531475.0	1.7	2.1	79.1	1560618839.0	374423383.0	1087745670.0	14370733.0
MethylC-Seq_mm_fc_6wk_SRR921780_1	6467274.0	23502228.0	55364279.0	1.7	2.1	79.1	1585190710.0	380453198.0	1104777548.0	14626183.0
MethylC-Seq_mm_fc_6wk_SRR921781_1	8366762.0	30042192.0	73238464.0	1.6	2.1	79.1	2061304321.0	498891962.0	1431422917.0	19342024.0
