Sample	bp_processed	r_with_adapters	quality_trimmed	r_processed	percent_trimmed	bp_written
MethylC-Seq_mm_fc_10wk_SRR921784_1	2878951530	14940027	145380298	33870018	8.14310038071	2644515617
MethylC-Seq_mm_fc_10wk_SRR921785_1	8271384988	46268309	846742349	71305043	18.6882874542	6725604785
MethylC-Seq_mm_fc_10wk_SRR921786_1	8138925980	41994245	1297499623	70163155	22.4141093	6314658215
MethylC-Seq_mm_fc_10wk_SRR921787_1	7521204172	41678855	809691709	64837967	18.9014132776	6099590288
MethylC-Seq_mm_fc_1wk_SRR921767_1	10000000000	39621727	170446207	100000000	2.64243157	9735756843
MethylC-Seq_mm_fc_1wk_SRR921768_1	10000000000	39251679	196860141	100000000	2.89965059	9710034941
MethylC-Seq_mm_fc_1wk_SRR921769_1	2041315600	8094974	41865161	20413156	3.00007926261	1980074514
MethylC-Seq_mm_fc_1wk_SRR921770_1	10000000000	39570784	184018857	100000000	2.77531391	9722468609
MethylC-Seq_mm_fc_22mo_SRR921797_1	9131156288	62674064	417058899	90407488	20.2905347534	7278395848
MethylC-Seq_mm_fc_22mo_SRR921798_1	10100000000	66509437	927517809	100000000	23.3633443465	7740302221
MethylC-Seq_mm_fc_22mo_SRR921799_1	10100000000	66007770	994920485	100000000	23.8784329802	7688278269
MethylC-Seq_mm_fc_22mo_SRR921800_1	2090237117	13492074	242152232	20695417	25.2376696266	1562709979
MethylC-Seq_mm_fc_2wk_SRR921694_1	16413118120	61439154	1962843445	162506120	13.465466323	14203015227
MethylC-Seq_mm_fc_2wk_SRR921695_1	16458873039	61500486	1990913461	162959139	13.5919168749	14221796697
MethylC-Seq_mm_fc_2wk_SRR921696_1	12698036635	34543903	2509363531	125723135	20.7426865484	10064122698
MethylC-Seq_mm_fc_2wk_SRR921773_1	14344404305	38946659	3253437153	142023805	23.6237041703	10955724667
MethylC-Seq_mm_fc_4wk_SRR921697_1	16437893723	41129449	4796358852	162751423	29.7492891206	11547737194
MethylC-Seq_mm_fc_4wk_SRR921698_1	16906691182	50956688	4575680346	167392982	27.766801271	12212243840
MethylC-Seq_mm_fc_4wk_SRR921699_1	16962033122	51289499	4516029441	167940922	27.3272706795	12326772418
MethylC-Seq_mm_fc_4wk_SRR921700_1	19092252604	65433067	3119885033	189032204	17.3420376981	15781266960
MethylC-Seq_mm_fc_6wk_SRR921778_1	17438877352	45702970	6297303234	172662152	36.650689772	11047408514
MethylC-Seq_mm_fc_6wk_SRR921779_1	17340186818	54801950	5109127681	171685018	30.1797823456	12106956178
MethylC-Seq_mm_fc_6wk_SRR921780_1	17041027242	54618584	4692699793	168723042	28.2674877259	12223956958
MethylC-Seq_mm_fc_6wk_SRR921781_1	19549490209	69743890	3715010996	193559309	19.9259037108	15654077614
