Sample	bismark_percent_cpg_meth	bismark_percent_chg_meth	bismark_percent_chh_meth	bismark_total_c	bismark_dup_reads_percent	bismark_dedup_reads	bismark_aligned_reads	bismark_percent_aligned	cutadapt_percent_trimmed	fastqc_percent_duplicates	fastqc_percent_gc	fastqc_avg_sequence_length	fastqc_total_sequences
MethylC-Seq_mm_fc_10wk_SRR921784_1	75.3	1.5	2.0	353373074.0	4.03	24016076.0	25023359.0	74.4345555094	8.14310038071	13.3432979654	26.0	85.0	33870018.0
MethylC-Seq_mm_fc_10wk_SRR921785_1	75.0	1.4	1.9	907230026.0	5.26	50824641.0	53647373.0	75.9922269673	18.6882874542	14.0445550267	28.0	116.0	71305043.0
MethylC-Seq_mm_fc_10wk_SRR921786_1	75.1	1.4	1.9	851179600.0	5.23	49687149.0	52426627.0	75.8236364408	22.4141093	12.6467887692	25.0	90.8175588642	69142855.0
MethylC-Seq_mm_fc_10wk_SRR921787_1	75.1	1.4	1.9	821642249.0	5.25	46117781.0	48672520.0	75.9413489784	18.9014132776	13.9621025608	28.0	116.0	64837967.0
MethylC-Seq_mm_fc_1wk_SRR921767_1	77.0	0.5	0.5	1567978762.0	2.91	83465166.0	85970837.0	86.0204131447	2.64243157	8.82717782044	21.0	100.0	100000000.0
MethylC-Seq_mm_fc_1wk_SRR921768_1	77.0	0.5	0.5	1559936769.0	2.9	83205980.0	85690327.0	85.7439306757	2.89965059	9.32041543655	21.0	100.0	100000000.0
MethylC-Seq_mm_fc_1wk_SRR921769_1	77.0	0.5	0.5	321444403.0	1.65	17194498.0	17482188.0	85.6967101435	3.00007926261	6.00197567977	21.0	96.7193198219	20400069.0
MethylC-Seq_mm_fc_1wk_SRR921770_1	77.0	0.5	0.5	1562840273.0	2.91	83381921.0	85880328.0	85.9280661965	2.77531391	8.74422714377	21.0	96.9348632927	99944444.0
MethylC-Seq_mm_fc_22mo_SRR921797_1	77.5	1.5	1.9	1020900641.0	5.54	64516830.0	68298638.0	77.2805777905	20.2905347534	9.26870321859	23.0	81.6264311138	88377494.0
MethylC-Seq_mm_fc_22mo_SRR921798_1	77.9	1.5	1.9	1078264600.0	5.11	69815361.0	73575837.0	76.5101799029	23.3633443465	7.54757382435	23.0	79.7418185005	96164768.0
MethylC-Seq_mm_fc_22mo_SRR921799_1	77.9	1.5	1.9	1069026087.0	5.06	69545302.0	73250698.0	76.1780403089	23.8784329802	9.60315620664	23.0	79.2206821752	96157236.0
MethylC-Seq_mm_fc_22mo_SRR921800_1	77.7	1.5	1.9	220247993.0	3.19	14533407.0	15011560.0	75.646358931	25.2376696266	6.76556036862	23.0	78.001793353	19844392.0
MethylC-Seq_mm_fc_2wk_SRR921694_1	75.7	0.9	1.1	1928202931.0	6.97	111688896.0	120059544.0	78.4227403871	13.465466323	15.4929947487	26.0	91.8317801269	153092768.0
MethylC-Seq_mm_fc_2wk_SRR921695_1	75.8	0.9	1.1	1930076424.0	6.97	111849677.0	120235451.0	78.3946386105	13.5919168749	14.5929148234	26.0	91.7810287747	153372033.0
MethylC-Seq_mm_fc_2wk_SRR921696_1	75.7	0.9	1.1	1366729142.0	6.12	84134391.0	89616441.0	77.0913612783	20.7426865484	11.595194273	26.0	101.0	125723135.0
MethylC-Seq_mm_fc_2wk_SRR921773_1	75.8	0.9	1.1	1472451692.0	6.32	91566412.0	97745852.0	76.2889220842	23.6237041703	10.8729289521	25.0	84.3832366762	128125879.0
MethylC-Seq_mm_fc_4wk_SRR921697_1	78.5	1.9	2.4	1513414151.0	6.48	94412227.0	100956805.0	74.083272674	29.7492891206	10.7022526375	25.0	83.3296783695	136274764.0
MethylC-Seq_mm_fc_4wk_SRR921698_1	78.6	1.9	2.5	1586700464.0	6.68	96143582.0	103030829.0	74.3043390659	27.766801271	11.9545193281	26.0	101.0	167392982.0
MethylC-Seq_mm_fc_4wk_SRR921699_1	78.6	1.9	2.5	1601669598.0	6.69	97009723.0	103961507.0	74.2478712538	27.3272706795	12.1072749336	26.0	101.0	167940922.0
MethylC-Seq_mm_fc_4wk_SRR921700_1	78.2	1.9	2.4	2103894910.0	7.24	121915342.0	131431179.0	76.6333019081	17.3420376981	13.5510653438	25.0	90.8957916613	171506611.0
MethylC-Seq_mm_fc_6wk_SRR921778_1	79.3	1.7	2.1	1411512666.0	6.31	91448503.0	97604005.0	73.4587135318	36.650689772	8.1592393115	25.0	101.0	172662152.0
MethylC-Seq_mm_fc_6wk_SRR921779_1	79.1	1.7	2.1	1560618839.0	6.5	96791935.0	103519543.0	74.9850891144	30.1797823456	10.732494788	25.0	101.0	171685018.0
MethylC-Seq_mm_fc_6wk_SRR921780_1	79.1	1.7	2.1	1585190710.0	6.51	98185463.0	105017698.0	75.5817509584	28.2674877259	10.6074935713	24.0	86.5524289648	138945839.0
MethylC-Seq_mm_fc_6wk_SRR921781_1	79.1	1.6	2.1	2061304321.0	7.16	122503963.0	131957368.0	77.3414949658	19.9259037108	14.6585369958	24.0	90.5454050959	170616521.0
