Sample	Total_Reads_1	Total_Reads_2	Not_Truncated_Reads_1	Not_Truncated_Reads_2	Truncated_Read_1	Truncated_Read_2	Average_Length_Truncated_1	Average_Length_Truncated_2	Too_Short_To_Map_Read_1	Too_Short_To_Map_Read_2	Unique_Alignments_Read_1	Unique_Alignments_Read_2	Multiple_Alignments_Read_1	Multiple_Alignments_Read_2	Failed_To_Align_Read_1	Failed_To_Align_Read_2	Paired_Read_1	Paired_Read_2	Valid_Pairs	Invalid_Pairs	Same_Circularised	Same_Dangling_Ends	Same_Fragment_Internal	Re_Ligation	Contiguous_Sequence	Wrong_Size	Deduplication_Read_Pairs_Uniques	Deduplication_Cis_Close_Uniques	Deduplication_Cis_Far_Uniques	Deduplication_Trans_Uniques	Percentage_Mapped	Percentage_Valid	Percentage_Uniques	Percentage_Unique_Trans	Percentage_Ditags_Passed_Through_HiCUP	Duplicate_Read_Pairs
Sample-1.A002	28754600.0	28754600.0	21205631.0	21308433.0	7548969.0	7446167.0	58.69	59.65	751623.0	698375.0	21072845.0	20505141.0	4475271.0	4336149.0	2454861.0	3214935.0	14383198.0	14383198.0	8935388.0	5447810.0	136087.0	530246.0	2442480.0	834795.0	48328.0	1455874.0	8864466.0	1159324.0	5742469.0	1962673.0	50.02	62.12	99.21	22.14	30.83	70922.0
Sample-1.A005	26780491.0	26780491.0	18418678.0	18343710.0	8361813.0	8436781.0	66.22	67.02	431302.0	407260.0	20379141.0	20071745.0	4263954.0	4167422.0	1706094.0	2134064.0	15245021.0	15245021.0	11314841.0	3930180.0	187236.0	298334.0	1580105.0	924315.0	59919.0	880271.0	11219537.0	1495237.0	7243835.0	2480465.0	56.93	74.22	99.16	22.11	41.89	95304.0
Sample-1.A006	34760244.0	34760244.0	24339936.0	24236337.0	10420308.0	10523907.0	65.67	66.68	579570.0	539500.0	25926210.0	25637256.0	5230796.0	5121683.0	3023668.0	3461805.0	18473566.0	18473566.0	13106391.0	5367175.0	220527.0	408217.0	2075370.0	961388.0	65086.0	1636587.0	12998003.0	2043926.0	8107586.0	2846491.0	53.15	70.95	99.17	21.9	37.39	108388.0
Sample-1.A007	31000250.0	31000250.0	24787262.0	24813011.0	6212988.0	6187239.0	65.01	65.94	368533.0	338254.0	22327487.0	21828226.0	4263821.0	4140992.0	4040409.0	4692778.0	14621513.0	14621513.0	7029431.0	7592082.0	157241.0	452563.0	4031859.0	771757.0	37367.0	2141295.0	6978457.0	876396.0	4591811.0	1510250.0	47.17	48.08	99.27	21.64	22.51	50974.0
Sample-1.A012	35472550.0	35472550.0	26472929.0	26422073.0	8999621.0	9050477.0	65.39	66.3	526747.0	494718.0	26504291.0	26142222.0	5362349.0	5264577.0	3079163.0	3571033.0	19070455.0	19070455.0	11705308.0	7365147.0	163868.0	663463.0	3810160.0	976378.0	55368.0	1695910.0	11609411.0	1261011.0	7003201.0	3345199.0	53.76	61.38	99.18	28.81	32.73	95897.0
Sample-1.A019	28583413.0	28583413.0	19432306.0	19261576.0	9151107.0	9321837.0	65.11	66.38	519100.0	488517.0	21667602.0	21491634.0	4404215.0	4342639.0	1992496.0	2260623.0	16053923.0	16053923.0	11766363.0	4287560.0	223187.0	305385.0	1541376.0	1070842.0	72067.0	1074703.0	11658185.0	1811982.0	7779338.0	2066865.0	56.17	73.29	99.08	17.73	40.79	108178.0
Sample-2.A002	47111116.0	47111116.0	31237828.0	31646350.0	15873288.0	15464766.0	65.43	66.06	836605.0	786618.0	36086617.0	35678265.0	8345082.0	8251704.0	1842812.0	2394529.0	28544901.0	28544901.0	22513818.0	6031083.0	308462.0	459609.0	1428287.0	2630424.0	194022.0	1010279.0	20582567.0	4471280.0	14095464.0	2015823.0	60.59	78.87	91.42	9.79	43.69	1931251.0
Sample-2.A005	47405891.0	47405891.0	31692250.0	32041603.0	15713641.0	15364288.0	66.87	67.53	774880.0	730807.0	36438532.0	36071030.0	8302457.0	8217328.0	1890022.0	2386726.0	29027139.0	29027139.0	23270871.0	5756268.0	322640.0	387458.0	1178281.0	2622262.0	199562.0	1046065.0	21256588.0	4598792.0	14571759.0	2086037.0	61.23	80.17	91.34	9.81	44.84	2014283.0
Sample-2.A006	52316898.0	52316898.0	32192721.0	32433590.0	20124177.0	19883308.0	66.11	66.83	962947.0	914822.0	39321762.0	39112933.0	8818185.0	8749902.0	3214004.0	3539241.0	31163044.0	31163044.0	24532872.0	6630172.0	342377.0	466229.0	1777624.0	2867016.0	207732.0	969194.0	21378250.0	4556068.0	14724374.0	2097808.0	59.57	78.72	87.14	9.81	40.86	3154622.0
Sample-2.A012	43542862.0	43542862.0	30710435.0	31083922.0	12832427.0	12458940.0	67.14	67.74	589333.0	546108.0	34098328.0	33591997.0	7182895.0	7071302.0	1672306.0	2333455.0	27167640.0	27167640.0	20377000.0	6790640.0	362905.0	484984.0	2016944.0	2664241.0	184268.0	1077298.0	19432336.0	4073201.0	13454368.0	1904767.0	62.39	75.0	95.36	9.8	44.63	944664.0
