Sample	avg_sequence_length	percent_dedup	percent_duplicates	seq_len_read_count	seq_len_bp	sequence_length	total_sequences	percent_gc
SRR1067503_1	36.0	86.8416421668	13.1583578332	30680980.0	1104515280.0	36.0	30680980.0	44.0
SRR1067503_1_trimmed	35.3846549072	87.0830668676	12.9169331324	30533631.0	1080421996.0	20-36	30533631.0	44.0
SRR1067505_1	36.0	91.7884286061	8.21157139393	18361776.0	661023936.0	36.0	18361776.0	47.0
SRR1067505_1_trimmed	35.3196448481	92.1917958924	7.80820410763	18000409.0	635768053.0	20-36	18000409.0	47.0
SRR1067510_1	36.0	87.8709928644	12.1290071356	34497539.0	1241911404.0	36.0	34497539.0	41.0
SRR1067510_1_trimmed	35.4294265023	88.5545692619	11.4454307381	34280588.0	1214541573.0	20-36	34280588.0	40.0
SRR1067514_1	36.0	92.8360096377	7.16399036233	33979765.0	1223271540.0	36.0	33979765.0	44.0
SRR1067514_1_trimmed	35.1457754404	93.354388293	6.645611707	33605846.0	1181103517.0	20-36	33605846.0	44.0
SRR1067519_1	36.0	93.940557526	6.05944247401	24683312.0	888599232.0	36.0	24683312.0	42.0
SRR1067519_1_trimmed	35.3332532748	94.2128179276	5.78718207242	24552872.0	867532845.0	20-36	24552872.0	42.0
SRR1067522_1	36.0	86.5549220993	13.4450779007	35761591.0	1287417276.0	36.0	35761591.0	41.0
SRR1067522_1_trimmed	35.5059611434	86.674031702	13.325968298	35698856.0	1267522194.0	20-36	35698856.0	40.0
