#Coverage (X)	Coverage
1.0	92.29532210731463
2.0	92.27366677899708
3.0	92.2535335645446
4.0	92.23355683963317
5.0	92.21183564643461
6.0	92.18659295497324
7.0	92.15521244968993
8.0	92.1122398865482
9.0	92.05117469517155
10.0	91.96270123436678
11.0	91.83547817127763
12.0	91.65830531668422
13.0	91.42258848035115
14.0	91.12224291433711
15.0	90.75621490950337
16.0	90.32707084274011
17.0	89.84507448068607
18.0	89.31849884571345
19.0	88.75547378548254
20.0	88.15828935388058
21.0	87.5233443571059
22.0	86.83367995847271
23.0	86.06469509298148
24.0	85.17939581367052
25.0	84.13131817063743
26.0	82.86926016589595
27.0	81.34019557315533
28.0	79.49017312401494
29.0	77.2737916047139
30.0	74.6610850413044
31.0	71.63760523224863
32.0	68.20627634613979
33.0	64.39177308252864
34.0	60.241355024894744
35.0	55.818105351086054
36.0	51.201814770326834
37.0	46.480824304395384
38.0	41.7460809418152
39.0	37.08681131781583
40.0	32.58930061877115
41.0	28.32477267035344
42.0	24.352752270393637
43.0	20.716956742002054
44.0	17.44464176602058
45.0	14.548194421338124
46.0	12.025122513683783
47.0	9.85778176670712
48.0	8.025200486354649
49.0	6.496846125296983
50.0	5.240741461127797
51.0	4.221612384350664
