#Coverage	Number of genomic locations
0.0	2.38872888E8
1.0	593996.0
2.0	532224.0
3.0	519841.0
4.0	539000.0
5.0	591294.0
6.0	673442.0
7.0	830830.0
8.0	1081846.0
9.0	1479116.0
10.0	2074521.0
11.0	2901150.0
12.0	4018860.0
13.0	5363221.0
14.0	6920014.0
15.0	8604153.0
16.0	1.0265904E7
17.0	1.1829094E7
18.0	1.318229E7
19.0	1.4295904E7
20.0	1.519331E7
21.0	1.5892946E7
22.0	1.6561277E7
23.0	1.7380853E7
24.0	1.8596126E7
25.0	2.0375567E7
26.0	2.297333E7
27.0	2.6620093E7
28.0	3.1445631E7
29.0	3.7570182E7
30.0	4.4958967E7
31.0	5.3535138E7
32.0	6.3093441E7
33.0	7.3349412E7
34.0	8.3931543E7
35.0	9.4454426E7
36.0	1.04479597E8
37.0	1.13603942E8
38.0	1.21401812E8
39.0	1.27538929E8
40.0	1.31689424E8
41.0	1.33642139E8
42.0	1.33533527E8
43.0	1.31214264E8
44.0	1.26938395E8
45.0	1.21032308E8
46.0	1.13648391E8
47.0	1.05175805E8
48.0	9.6021558E7
49.0	8.649407E7
50.0	7.6857548E7
51.0	6.742273E7
52.0	5.8399556E7
53.0	4.998449E7
54.0	4.2286219E7
55.0	3.5380585E7
56.0	2.9265496E7
57.0	2.3966102E7
58.0	1.9433233E7
59.0	1.5617485E7
60.0	1.2451829E7
61.0	9852096.0
62.0	7744673.0
63.0	6055291.0
64.0	4725643.0
65.0	3682025.0
66.0	2877621.0
67.0	2250047.0
68.0	1774859.0
69.0	1422374.0
70.0	1150426.0
71.0	954514.0
72.0	802618.0
73.0	692624.0
74.0	610244.0
75.0	547130.0
76.0	499082.0
77.0	462128.0
78.0	431510.0
79.0	409321.0
80.0	388810.0
81.0	369438.0
82.0	353618.0
83.0	341729.0
84.0	327323.0
85.0	316337.0
86.0	305310.0
87.0	292267.0
88.0	282472.0
89.0	272504.0
90.0	262089.0
91.0	252460.0
92.0	243383.0
93.0	232626.0
94.0	222438.0
95.0	214588.0
96.0	207148.0
97.0	199271.0
98.0	192336.0
99.0	184704.0
100.0	178681.0
101.0	172771.0
102.0	167601.0
103.0	161864.0
104.0	157299.0
105.0	152641.0
106.0	150636.0
107.0	145543.0
108.0	143070.0
109.0	140124.0
110.0	137421.0
111.0	134905.0
112.0	131880.0
113.0	129610.0
114.0	128562.0
115.0	125889.0
116.0	124150.0
117.0	121522.0
118.0	119582.0
119.0	115841.0
120.0	113300.0
121.0	111537.0
122.0	108311.0
123.0	105199.0
124.0	103443.0
125.0	100287.0
126.0	97832.0
127.0	95722.0
128.0	93977.0
129.0	91319.0
130.0	88816.0
131.0	85941.0
132.0	84368.0
133.0	82459.0
134.0	80830.0
135.0	78585.0
136.0	76735.0
137.0	74605.0
138.0	73123.0
139.0	71154.0
140.0	69470.0
141.0	67676.0
142.0	66168.0
143.0	65377.0
144.0	63946.0
145.0	62929.0
146.0	62190.0
147.0	60338.0
148.0	58957.0
149.0	57967.0
150.0	57355.0
151.0	56491.0
152.0	55320.0
153.0	54878.0
154.0	53969.0
155.0	53066.0
156.0	51805.0
157.0	51405.0
158.0	49938.0
159.0	49992.0
160.0	49270.0
161.0	48744.0
162.0	47958.0
163.0	47406.0
164.0	46661.0
165.0	46270.0
166.0	44963.0
167.0	44643.0
168.0	43531.0
169.0	42836.0
170.0	42516.0
171.0	42039.0
172.0	41505.0
173.0	39959.0
174.0	39890.0
175.0	39158.0
176.0	38629.0
177.0	38094.0
178.0	38093.0
179.0	37558.0
180.0	36886.0
181.0	36394.0
182.0	35763.0
183.0	35281.0
184.0	34504.0
185.0	33787.0
186.0	33932.0
187.0	32943.0
188.0	32396.0
189.0	31863.0
190.0	31569.0
191.0	30833.0
192.0	30847.0
193.0	30476.0
194.0	30294.0
195.0	30084.0
196.0	29621.0
197.0	29028.0
198.0	28882.0
199.0	29061.0
200.0	28648.0
201.0	28324.0
202.0	28140.0
203.0	28329.0
204.0	27498.0
205.0	27724.0
206.0	27186.0
207.0	27095.0
208.0	27018.0
209.0	26466.0
210.0	26191.0
211.0	25897.0
212.0	25723.0
213.0	25152.0
214.0	25027.0
215.0	24760.0
216.0	24589.0
217.0	23764.0
218.0	23580.0
219.0	23225.0
220.0	22811.0
221.0	22593.0
222.0	22294.0
223.0	21824.0
224.0	21306.0
225.0	21125.0
226.0	20860.0
227.0	20541.0
228.0	20101.0
229.0	19526.0
230.0	19046.0
231.0	18850.0
232.0	18264.0
233.0	18253.0
234.0	18143.0
235.0	17870.0
236.0	17564.0
237.0	16997.0
238.0	16649.0
239.0	16646.0
240.0	16253.0
241.0	16030.0
242.0	15943.0
243.0	15630.0
244.0	15279.0
245.0	15146.0
246.0	14822.0
247.0	14327.0
248.0	14269.0
249.0	14178.0
250.0	13826.0
251.0	13722.0
252.0	13601.0
253.0	13378.0
254.0	13325.0
255.0	12892.0
256.0	13012.0
257.0	12713.0
258.0	12431.0
259.0	12428.0
260.0	12087.0
261.0	12049.0
262.0	11685.0
263.0	11489.0
264.0	11157.0
265.0	10932.0
266.0	10753.0
267.0	10594.0
268.0	10466.0
269.0	10352.0
270.0	10356.0
271.0	10026.0
272.0	9994.0
273.0	9940.0
274.0	9775.0
275.0	9491.0
276.0	9331.0
277.0	9260.0
278.0	9302.0
279.0	9200.0
280.0	8889.0
281.0	8896.0
282.0	8837.0
283.0	8568.0
284.0	8574.0
285.0	8682.0
286.0	8161.0
287.0	8162.0
288.0	8112.0
289.0	8150.0
290.0	7966.0
291.0	7925.0
292.0	7860.0
293.0	7853.0
294.0	7879.0
295.0	7872.0
296.0	7661.0
297.0	7719.0
298.0	7627.0
299.0	7604.0
300.0	7468.0
301.0	7437.0
302.0	7434.0
303.0	7277.0
304.0	7098.0
305.0	7104.0
306.0	7027.0
307.0	6911.0
308.0	6955.0
309.0	6813.0
310.0	6742.0
311.0	6815.0
312.0	6760.0
313.0	6812.0
314.0	6776.0
315.0	6482.0
316.0	6515.0
317.0	6427.0
318.0	6270.0
319.0	6128.0
320.0	6248.0
321.0	5978.0
322.0	5786.0
323.0	5865.0
324.0	5766.0
325.0	5827.0
326.0	5648.0
327.0	5594.0
328.0	5746.0
329.0	5639.0
330.0	5513.0
331.0	5739.0
332.0	5535.0
333.0	5538.0
334.0	5467.0
335.0	5340.0
336.0	5481.0
337.0	5460.0
338.0	5524.0
339.0	5259.0
340.0	5306.0
341.0	5262.0
342.0	5166.0
343.0	5179.0
344.0	5204.0
345.0	4979.0
346.0	5060.0
347.0	5047.0
348.0	5121.0
349.0	4982.0
350.0	5053.0
351.0	4938.0
352.0	4974.0
353.0	4953.0
354.0	4844.0
