#Duplication rate	Coverage
1.0	5.00605039E8
2.0	1.0548386E8
3.0	1.9563945E7
4.0	3577973.0
5.0	746069.0
6.0	236601.0
7.0	119992.0
8.0	82411.0
9.0	63022.0
10.0	50585.0
11.0	42337.0
12.0	35637.0
13.0	31186.0
14.0	26820.0
15.0	23963.0
16.0	21088.0
17.0	19101.0
18.0	17256.0
19.0	15677.0
20.0	14407.0
21.0	13180.0
22.0	12354.0
23.0	11469.0
24.0	10983.0
25.0	10329.0
26.0	9484.0
27.0	8924.0
28.0	8535.0
29.0	8272.0
30.0	7634.0
31.0	7340.0
32.0	6989.0
33.0	6671.0
34.0	6338.0
35.0	6155.0
36.0	5950.0
37.0	5599.0
38.0	5433.0
39.0	5139.0
40.0	5038.0
41.0	4806.0
42.0	4559.0
43.0	4418.0
44.0	4327.0
45.0	4083.0
46.0	4004.0
47.0	3766.0
48.0	3846.0
49.0	3594.0
50.0	185907.0
