#Insert size (bp)	insert size
0.0	1.5815126E7
2.0	6134.0
3.0	6190.0
4.0	6312.0
5.0	6522.0
6.0	6381.0
7.0	6197.0
8.0	6375.0
9.0	6149.0
10.0	6191.0
11.0	6052.0
12.0	6237.0
13.0	6142.0
14.0	6137.0
15.0	5914.0
16.0	6075.0
17.0	6056.0
18.0	5878.0
19.0	5672.0
20.0	5681.0
21.0	5687.0
22.0	5621.0
23.0	5497.0
24.0	5394.0
25.0	5481.0
26.0	5405.0
27.0	5454.0
28.0	5756.0
29.0	5625.0
30.0	6264.0
31.0	6378.0
32.0	6407.0
33.0	6436.0
34.0	6718.0
35.0	7110.0
36.0	7220.0
37.0	7447.0
38.0	7517.0
39.0	7691.0
40.0	8597.0
41.0	10772.0
42.0	12488.0
43.0	15105.0
44.0	17139.0
45.0	18514.0
46.0	20217.0
47.0	20733.0
48.0	20551.0
49.0	21355.0
50.0	21380.0
51.0	22201.0
52.0	21862.0
53.0	22808.0
54.0	23875.0
55.0	23125.0
56.0	24567.0
57.0	23871.0
58.0	24299.0
59.0	25761.0
60.0	26659.0
61.0	28710.0
62.0	27843.0
63.0	29529.0
64.0	30344.0
65.0	33299.0
66.0	35057.0
67.0	30212.0
68.0	30151.0
69.0	32927.0
70.0	39200.0
71.0	29408.0
72.0	28152.0
73.0	29893.0
74.0	32133.0
75.0	29244.0
76.0	29048.0
77.0	31680.0
78.0	30544.0
79.0	29347.0
80.0	28195.0
81.0	36925.0
82.0	31027.0
83.0	31340.0
84.0	33848.0
85.0	33737.0
86.0	34009.0
87.0	31860.0
88.0	37396.0
89.0	34711.0
90.0	33980.0
91.0	34041.0
92.0	34424.0
93.0	34887.0
94.0	35483.0
95.0	36970.0
96.0	37142.0
97.0	40757.0
98.0	37940.0
99.0	43120.0
100.0	40155.0
101.0	38611.0
102.0	39633.0
103.0	47365.0
104.0	42223.0
105.0	42705.0
106.0	51428.0
107.0	44200.0
108.0	46418.0
109.0	47522.0
110.0	57100.0
111.0	43393.0
112.0	43869.0
113.0	43370.0
114.0	46285.0
115.0	43153.0
116.0	45622.0
117.0	39406.0
118.0	41282.0
119.0	42336.0
120.0	44858.0
121.0	46031.0
122.0	42644.0
123.0	44503.0
124.0	43586.0
125.0	40987.0
126.0	40578.0
127.0	40299.0
128.0	42051.0
129.0	42490.0
130.0	41396.0
131.0	41693.0
132.0	42545.0
133.0	44828.0
134.0	47284.0
135.0	52935.0
136.0	47588.0
137.0	49799.0
138.0	51849.0
139.0	59363.0
140.0	53870.0
141.0	52848.0
142.0	56517.0
143.0	54889.0
144.0	55838.0
145.0	57615.0
146.0	59335.0
147.0	58805.0
148.0	61355.0
149.0	70192.0
150.0	69669.0
151.0	63734.0
152.0	59122.0
153.0	64285.0
154.0	74221.0
155.0	63300.0
156.0	58295.0
157.0	61990.0
158.0	60318.0
159.0	61734.0
160.0	60831.0
161.0	60350.0
162.0	61501.0
163.0	63984.0
164.0	65020.0
165.0	66085.0
166.0	67218.0
167.0	71015.0
168.0	70096.0
169.0	71432.0
170.0	72746.0
171.0	73722.0
172.0	74211.0
173.0	77395.0
174.0	80072.0
175.0	80750.0
176.0	88256.0
177.0	84395.0
178.0	84549.0
179.0	86647.0
180.0	89006.0
181.0	91305.0
182.0	93817.0
183.0	93833.0
184.0	96344.0
185.0	99922.0
186.0	100984.0
187.0	103230.0
188.0	107698.0
189.0	109233.0
190.0	111878.0
191.0	114839.0
192.0	117151.0
193.0	119876.0
194.0	122478.0
195.0	125836.0
196.0	135885.0
197.0	133027.0
198.0	141064.0
199.0	142084.0
200.0	144776.0
201.0	146354.0
202.0	150489.0
203.0	152665.0
204.0	155772.0
205.0	161363.0
206.0	164107.0
207.0	168680.0
208.0	173839.0
209.0	178145.0
210.0	180535.0
211.0	185356.0
212.0	191170.0
213.0	194664.0
214.0	200218.0
215.0	205470.0
216.0	210760.0
217.0	217086.0
218.0	222808.0
219.0	228724.0
220.0	238101.0
221.0	240135.0
222.0	246741.0
223.0	252058.0
224.0	260751.0
225.0	264112.0
226.0	272214.0
227.0	278372.0
228.0	286383.0
229.0	297592.0
230.0	302747.0
231.0	310416.0
232.0	318363.0
233.0	325949.0
234.0	332619.0
235.0	342061.0
236.0	352349.0
237.0	363300.0
238.0	374778.0
239.0	382111.0
240.0	391107.0
241.0	403748.0
242.0	413489.0
243.0	422049.0
244.0	429012.0
245.0	437382.0
246.0	449771.0
247.0	459994.0
248.0	473383.0
249.0	484843.0
250.0	497275.0
251.0	509021.0
252.0	526128.0
253.0	532753.0
254.0	545120.0
255.0	556673.0
256.0	570909.0
257.0	582618.0
258.0	599262.0
259.0	618198.0
260.0	630752.0
261.0	646824.0
262.0	661483.0
263.0	676935.0
264.0	696752.0
265.0	707983.0
266.0	727363.0
267.0	760299.0
268.0	757620.0
269.0	773556.0
270.0	796296.0
271.0	813556.0
272.0	830461.0
273.0	846153.0
274.0	863905.0
275.0	882155.0
276.0	898199.0
277.0	920091.0
278.0	931124.0
279.0	952729.0
280.0	975439.0
281.0	997121.0
282.0	1017752.0
283.0	1045386.0
284.0	1057043.0
285.0	1073462.0
286.0	1093703.0
287.0	1115203.0
288.0	1140547.0
289.0	1160207.0
290.0	1185497.0
291.0	1212896.0
292.0	1236773.0
293.0	1258107.0
294.0	1277769.0
295.0	1300835.0
296.0	1325801.0
297.0	1340247.0
298.0	1370433.0
299.0	1387025.0
300.0	1414257.0
301.0	1444854.0
302.0	1468622.0
303.0	1493646.0
304.0	1516222.0
305.0	1535765.0
306.0	1555548.0
307.0	1578269.0
308.0	1601126.0
309.0	1624117.0
310.0	1655650.0
311.0	1679161.0
312.0	1702528.0
313.0	1728652.0
314.0	1753301.0
315.0	1775808.0
316.0	1794002.0
317.0	1813712.0
318.0	1832410.0
319.0	1858344.0
320.0	1882494.0
321.0	1905977.0
322.0	1926848.0
323.0	1949129.0
324.0	1983150.0
325.0	1993006.0
326.0	2009421.0
327.0	2024583.0
328.0	2044015.0
329.0	2057571.0
330.0	2077764.0
331.0	2100284.0
332.0	2120752.0
333.0	2141064.0
334.0	2161605.0
335.0	2175967.0
336.0	2187830.0
337.0	2203726.0
338.0	2210907.0
339.0	2223896.0
340.0	2236691.0
341.0	2255545.0
342.0	2268740.0
343.0	2282479.0
344.0	2298585.0
345.0	2307061.0
346.0	2319316.0
347.0	2327129.0
348.0	2330902.0
349.0	2330239.0
350.0	2341124.0
351.0	2344823.0
352.0	2361129.0
353.0	2367502.0
354.0	2371760.0
355.0	2381244.0
356.0	2386035.0
357.0	2382316.0
358.0	2381867.0
359.0	2380751.0
360.0	2376065.0
361.0	2376569.0
362.0	2381757.0
363.0	2382576.0
364.0	2382104.0
365.0	2385409.0
366.0	2378799.0
367.0	2379846.0
368.0	2370906.0
369.0	2364924.0
370.0	2353804.0
371.0	2344550.0
372.0	2337474.0
373.0	2356004.0
374.0	2329649.0
375.0	2328552.0
376.0	2327293.0
377.0	2314700.0
378.0	2301492.0
379.0	2289011.0
380.0	2272606.0
381.0	2262290.0
382.0	2251727.0
383.0	2244118.0
384.0	2233904.0
385.0	2225019.0
386.0	2214317.0
387.0	2205332.0
388.0	2190539.0
389.0	2174121.0
390.0	2154113.0
391.0	2139992.0
392.0	2122913.0
393.0	2111474.0
394.0	2113195.0
395.0	2083186.0
396.0	2071128.0
397.0	2058616.0
398.0	2042546.0
399.0	2022044.0
400.0	2002896.0
401.0	1983387.0
402.0	1966877.0
403.0	1945985.0
404.0	1936216.0
405.0	1919472.0
406.0	1903514.0
407.0	1885428.0
408.0	1865066.0
409.0	1849889.0
410.0	1830339.0
411.0	1805078.0
412.0	1788518.0
413.0	1767223.0
414.0	1748339.0
415.0	1735603.0
416.0	1717319.0
417.0	1703085.0
418.0	1680762.0
419.0	1666827.0
420.0	1642485.0
421.0	1623762.0
422.0	1602087.0
423.0	1581390.0
424.0	1561589.0
425.0	1544246.0
426.0	1527857.0
427.0	1512462.0
428.0	1494722.0
429.0	1474051.0
430.0	1454136.0
431.0	1435921.0
432.0	1415127.0
433.0	1394634.0
434.0	1376937.0
435.0	1367171.0
436.0	1344154.0
437.0	1342199.0
438.0	1307427.0
439.0	1296373.0
440.0	1282128.0
441.0	1256417.0
442.0	1235168.0
443.0	1216109.0
444.0	1197444.0
445.0	1186017.0
446.0	1164501.0
447.0	1147236.0
448.0	1131261.0
449.0	1114718.0
450.0	1096050.0
451.0	1080452.0
452.0	1063383.0
453.0	1043312.0
454.0	1024918.0
455.0	1008991.0
456.0	990163.0
457.0	975478.0
458.0	960732.0
459.0	945238.0
460.0	931944.0
461.0	919801.0
462.0	900454.0
463.0	884153.0
464.0	869008.0
465.0	851926.0
466.0	837849.0
