#Mapping quality	mapping quality
0.0	3.046241E7
1.0	1904432.0
2.0	1572841.0
3.0	1509167.0
4.0	1442984.0
5.0	1425787.0
6.0	1459835.0
7.0	1442581.0
8.0	1434651.0
9.0	1479044.0
10.0	1475207.0
11.0	1437676.0
12.0	1461452.0
13.0	1446292.0
14.0	1429113.0
15.0	1444109.0
16.0	1434392.0
17.0	1431810.0
18.0	1466513.0
19.0	1463633.0
20.0	1502018.0
21.0	1509089.0
22.0	1528023.0
23.0	1550118.0
24.0	1577179.0
25.0	1606426.0
26.0	1631649.0
27.0	1662638.0
28.0	1668420.0
29.0	1708826.0
30.0	1763395.0
31.0	1802557.0
32.0	1872913.0
33.0	1945048.0
34.0	2015322.0
35.0	2089784.0
36.0	2181640.0
37.0	2273302.0
38.0	2375478.0
39.0	2462109.0
40.0	2616014.0
41.0	2667716.0
42.0	2785714.0
43.0	2901241.0
44.0	3043024.0
45.0	3226836.0
46.0	3394595.0
47.0	3616309.0
48.0	3881748.0
49.0	4134786.0
50.0	4531104.0
51.0	4935519.0
52.0	5526421.0
53.0	6222386.0
54.0	7311546.0
55.0	9059579.0
56.0	1.2468215E7
57.0	1.9633825E7
58.0	4.9424787E7
59.0	1.26866493E8
60.0	2.48933413E9
