#Position (bp)	insert size	chromosomes
3877256.5	15672.079399259808	0.0
1.16317685E7	29061.014243110993	828.0
1.93862805E7	19089.467062955147	0.0
2.71407925E7	17740.35709166304	0.0
3.48953045E7	12504.761876207132	828.0
4.26498165E7	15988.31251812078	0.0
5.04043285E7	11060.41475259732	0.0
5.81588405E7	9481.535128629599	828.0
6.59133525E7	9668.22055105793	0.0
7.36678645E7	7188.004873554702	0.0
8.14223765E7	5455.201752215348	828.0
8.91768885E7	6503.986262602229	0.0
9.69314005E7	4845.830618022844	0.0
1.046859125E8	4344.664735261082	828.0
1.124404245E8	5235.458371845962	0.0
1.201949365E8	2048.143922667195	0.0
1.279494485E8	0.0	828.0
1.357039605E8	0.0	0.0
1.434584725E8	2623.0081977138293	0.0
1.512129845E8	3463.194755818294	828.0
1.589674965E8	1868.9459990417286	0.0
1.667220085E8	2000.581178539695	0.0
1.744765205E8	2310.266064954662	828.0
1.822310325E8	980.7085867705125	0.0
1.899855445E8	1341.126907583708	0.0
1.977400565E8	1313.376680489724	828.0
2.054945685E8	1271.7732457684942	0.0
2.132490805E8	593.8834816198877	0.0
2.210035925E8	627.3045320890036	828.0
2.287581045E8	505.0094290942344	0.0
2.365126165E8	395.38454918717514	0.0
2.442671285E8	375.8203794526776	828.0
2.48697503E8	372.67884505515434	0.0
2.52574759E8	18568.701114497788	0.0
2.597761525E8	10731.306726040384	828.0
2.675306645E8	12845.602194783516	0.0
2.752851765E8	12410.784414244245	0.0
2.830396885E8	916342.6069262528	828.0
2.907942005E8	12512.762636097284	0.0
2.985487125E8	12185.809551699136	0.0
3.063032245E8	7906.614501730066	828.0
3.140577365E8	8936.843430768658	0.0
3.218122485E8	8489.026745775736	0.0
3.295667605E8	4415.273366879459	828.0
3.373212725E8	8774.98325263382	0.0
3.450757845E8	2385.553934308874	0.0
3.528302965E8	3729.0796822057528	828.0
3.605848085E8	6090.791936685989	0.0
3.683393205E8	4004.3955880135536	0.0
3.760938325E8	3779.171223931104	828.0
3.838483445E8	2315.3621117644525	0.0
3.916028565E8	3286.0271860780376	0.0
3.993573685E8	2466.5353963030147	828.0
4.071118805E8	3604.5059055081715	0.0
4.148663925E8	1688.7952824991908	0.0
4.226209045E8	1406.257691120394	828.0
4.303754165E8	1304.9496943105673	0.0
4.381299285E8	683.2160308048035	0.0
4.458844405E8	886.375418528871	828.0
4.536389525E8	744.0396227782509	0.0
4.613934645E8	577.7371928843111	0.0
4.691479765E8	728.7974046159281	828.0
4.769024885E8	412.6670953333303	0.0
4.846570005E8	417.6961445503286	0.0
4.904921255E8	370.403070578311	828.0
4.943693815E8	8757.324870217513	0.0
5.001660245E8	7511.035070220346	0.0
5.079205365E8	6790.883960695632	828.0
5.156750485E8	6960.989286965933	0.0
5.234295605E8	8838.17573618922	0.0
5.311840725E8	7274.739216724123	828.0
5.389385845E8	8060.925318862281	0.0
5.466930965E8	5836.757317806849	0.0
5.544476085E8	4536.0375511451975	828.0
5.622021205E8	6880.076478303629	0.0
5.699566325E8	3956.000971592941	0.0
5.777111445E8	4835.311392162214	828.0
5.854656565E8	2521.7640036745643	0.0
5.932201685E8	2292.968697271841	0.0
6.009746805E8	2053.7801424707077	828.0
6.087291925E8	1197.0622715434472	0.0
6.164837045E8	1771.3033795088475	0.0
6.242382165E8	1615.6153595610933	828.0
6.319927285E8	1355.4047726586316	0.0
6.397472405E8	646.391406157307	0.0
6.475017525E8	1278.4131334593976	828.0
6.552562645E8	579.7434620369853	0.0
6.630107765E8	640.5210010188138	0.0
6.707652885E8	450.31135876817604	828.0
6.785198005E8	427.6506358903826	0.0
6.862743125E8	372.95698177454267	0.0
6.903119965E8	362.8756967542149	828.0
6.941892525E8	10114.171790940065	0.0
7.017833365E8	7142.361448046116	0.0
7.095378485E8	8122.224110345476	828.0
7.172923605E8	7895.279032912236	0.0
7.250468725E8	4023.3249523798436	0.0
7.328013845E8	6446.79659974589	828.0
7.405558965E8	3440.541717874629	0.0
7.483104085E8	5313.26383071001	0.0
7.560649205E8	2404.1509389323696	828.0
7.638194325E8	2794.3235631132648	0.0
7.715739445E8	4179.321661021407	0.0
7.793284565E8	2461.177516148157	828.0
7.870829685E8	2156.9694164635516	0.0
7.948374805E8	2474.7256238123064	0.0
8.025919925E8	1540.6334329666347	828.0
8.103465045E8	1066.715643309903	0.0
8.181010165E8	1507.9957723781217	0.0
8.258555285E8	991.3767623400909	828.0
8.336100405E8	914.2520489106213	0.0
8.413645525E8	725.8302015227373	0.0
8.491190645E8	630.1122150289315	828.0
8.568735765E8	566.0591854662823	0.0
8.646280885E8	394.23951787761814	0.0
8.723826005E8	387.1029782571018	828.0
8.789432785E8	367.43514733123817	0.0
8.828205345E8	7280.0292369852905	0.0
8.878916245E8	5707.682282167187	828.0
8.956461365E8	7834.108015969889	0.0
9.034006485E8	9020.56959858816	0.0
9.111551605E8	3166.616961609791	828.0
