#GC Content (%)	Sample	HUMAN (hg19)
1.0	1.3394359922626043E-5	0.0
2.0	1.0812410352724817E-5	3.0E-6
3.0	2.1831376671041737E-5	3.0E-6
4.0	4.885048586253116E-5	1.0E-5
5.0	7.218336551422313E-5	8.0E-6
6.0	6.114056581526099E-5	1.2000000000000002E-5
7.0	5.800250403030412E-5	6.999999999999999E-6
8.0	5.610377803889983E-5	9.999999999999999E-6
9.0	5.0073932735653586E-5	1.6E-5
10.0	6.663018782388175E-5	1.5000000000000002E-5
11.0	6.168873357010154E-5	1.9999999999999998E-5
12.0	6.809196850345659E-5	1.6E-5
13.0	8.515666904544991E-5	1.6E-5
14.0	1.0467620779390315E-4	2.4999999999999998E-5
15.0	1.4768751539835E-4	2.2000000000000003E-5
16.0	2.1143386416415743E-4	2.6999999999999996E-5
17.0	3.256275352957272E-4	3.3E-5
18.0	5.12362072651199E-4	3.7000000000000005E-5
19.0	9.059862429278017E-4	4.7000000000000004E-5
20.0	0.001740361121476866	5.4999999999999995E-5
21.0	0.0028257173871407597	6.400000000000001E-5
22.0	0.004360173988763164	9.3E-5
23.0	0.005484696443287406	1.66E-4
24.0	0.00691216499919332	3.03E-4
25.0	0.01030760346173816	7.059999999999999E-4
26.0	0.011018529373005088	0.0016020000000000001
27.0	0.015261323962090437	0.0033690000000000005
28.0	0.018625588362751296	0.006167999999999999
29.0	0.021983679917825048	0.010352
30.0	0.0252285152480726	0.015647
31.0	0.028215036454426808	0.022148
32.0	0.03108328848155911	0.028808
33.0	0.033741123535434785	0.035106000000000005
34.0	0.036251692130303506	0.041161
35.0	0.038717565192002194	0.047408
36.0	0.04138206564799832	0.052698999999999996
37.0	0.04355945947036699	0.057517000000000006
38.0	0.044292582203474845	0.061487999999999994
39.0	0.04380785890791192	0.063321
40.0	0.04252733903260435	0.060248
41.0	0.04044173550356073	0.055508
42.0	0.03741593688590316	0.051446000000000006
43.0	0.034221397933277276	0.048194
44.0	0.0313869257509795	0.044423
45.0	0.029235581813656077	0.040655000000000004
46.0	0.02778093525935437	0.03652
47.0	0.026739384747316432	0.032315
48.0	0.026038381466858142	0.028137999999999996
49.0	0.02546543494060674	0.02458
50.0	0.024998435735783652	0.020810000000000002
51.0	0.02676313073889931	0.017532
52.0	0.02082681556576521	0.014506999999999997
53.0	0.02128126252344847	0.012007
54.0	0.018732639964149513	0.010018
55.0	0.015997370256557446	0.008414999999999999
56.0	0.013449367365155264	0.007258
57.0	0.011175726407280888	0.006174999999999999
58.0	0.009282839594134687	0.005363000000000001
59.0	0.0077168434854584115	0.0046159999999999994
60.0	0.006493579334920932	0.003946
61.0	0.005504962761296079	0.0034579999999999993
62.0	0.0047074342892245566	0.002915
63.0	0.004035666622357764	0.0024610000000000005
64.0	0.003416578671177171	0.0019950000000000002
65.0	0.002873908482805439	0.0016779999999999998
66.0	0.002401308433530719	0.0013500000000000003
67.0	0.001986019720247591	0.001069
68.0	0.0016199866602979636	8.119999999999999E-4
69.0	0.0013048855347872182	6.4E-4
70.0	0.0010493996387304385	5.05E-4
71.0	8.455209562308226E-4	4.0299999999999993E-4
72.0	6.927728196754662E-4	3.2E-4
73.0	5.735979719890408E-4	2.79E-4
74.0	4.747291646123617E-4	2.0700000000000002E-4
75.0	4.0048023944221756E-4	2.0099999999999998E-4
76.0	3.3946678499039784E-4	1.54E-4
77.0	2.9895798235370145E-4	1.12E-4
78.0	2.630808000223971E-4	7.699999999999999E-5
79.0	2.3039729069755505E-4	6.3E-5
80.0	1.9653005680066613E-4	3.7E-5
81.0	1.627104896650676E-4	2.8000000000000003E-5
82.0	1.3618393700691317E-4	1.6E-5
83.0	1.1396328178533247E-4	9.0E-6
84.0	8.973267812933638E-5	4.0E-6
85.0	7.219130997443822E-5	0.0
86.0	5.4816775484056756E-5	1.0E-6
87.0	3.857035434421675E-5	0.0
88.0	2.3865158486102388E-5	0.0
89.0	1.3712138331229269E-5	0.0
90.0	9.44596319573094E-6	0.0
91.0	1.0025908791431831E-5	0.0
92.0	1.1471800550576514E-5	0.0
93.0	1.9916761759207288E-5	0.0
94.0	3.610757167754173E-5	0.0
95.0	5.683466837868725E-5	0.0
96.0	7.227075457658904E-5	0.0
97.0	7.033230628410935E-5	0.0
98.0	5.125765730770061E-5	0.0
99.0	4.0341968972179734E-5	0.0
100.0	4.8739263419520025E-5	0.0
