#Mapping quality	mapping quality
0.0	3.0796774E7
1.0	1903087.0
2.0	1578401.0
3.0	1500964.0
4.0	1427916.0
5.0	1414564.0
6.0	1448471.0
7.0	1426910.0
8.0	1412908.0
9.0	1470503.0
10.0	1444451.0
11.0	1425412.0
12.0	1445305.0
13.0	1424451.0
14.0	1400223.0
15.0	1434799.0
16.0	1422555.0
17.0	1422906.0
18.0	1453214.0
19.0	1455780.0
20.0	1500764.0
21.0	1507537.0
22.0	1523426.0
23.0	1545855.0
24.0	1586848.0
25.0	1620081.0
26.0	1636347.0
27.0	1668232.0
28.0	1667811.0
29.0	1706142.0
30.0	1778355.0
31.0	1804308.0
32.0	1864829.0
33.0	1927854.0
34.0	2000430.0
35.0	2072529.0
36.0	2172712.0
37.0	2251372.0
38.0	2350939.0
39.0	2432610.0
40.0	2590816.0
41.0	2640266.0
42.0	2762635.0
43.0	2884424.0
44.0	3013910.0
45.0	3217843.0
46.0	3383778.0
47.0	3559235.0
48.0	3853828.0
49.0	4110134.0
50.0	4513114.0
51.0	4914855.0
52.0	5483946.0
53.0	6153202.0
54.0	7261873.0
55.0	9070048.0
56.0	1.2587997E7
57.0	1.9799211E7
58.0	4.8870079E7
59.0	1.23380286E8
60.0	2.488536696E9
61.0	3483542.0
62.0	867769.0
63.0	310863.0
64.0	124455.0
65.0	52145.0
66.0	18855.0
67.0	8262.0
68.0	4472.0
69.0	1438.0
70.0	1291.0
