#Coverage (X)	Coverage
1.0	92.29751163907807
2.0	92.2786147693741
3.0	92.26133447467146
4.0	92.24459025497671
5.0	92.22753318515709
6.0	92.20895561343715
7.0	92.18759298568472
8.0	92.16104418363905
9.0	92.12617561224249
10.0	92.07815353718176
11.0	92.01073652753871
12.0	91.91602427943805
13.0	91.78609795140945
14.0	91.61234081794986
15.0	91.38893239662434
16.0	91.11230202424422
17.0	90.78254267893811
18.0	90.40333728112213
19.0	89.98073102112183
20.0	89.52353815460464
21.0	89.03874925700151
22.0	88.53062868442538
23.0	88.00063210555305
24.0	87.4441426275737
25.0	86.84858134778935
26.0	86.19434235766703
27.0	85.45577758884197
28.0	84.59931210389449
29.0	83.58729230763484
30.0	82.37846792457299
31.0	80.93455295349588
32.0	79.2164847807978
33.0	77.19425361932817
34.0	74.84320965827243
35.0	72.15456162858096
36.0	69.12939444703066
37.0	65.78264947966474
38.0	62.14505970551359
39.0	58.257981918700004
40.0	54.17580439127699
41.0	49.95887086366334
42.0	45.67489407656101
43.0	41.39180200020965
44.0	37.17709427356703
45.0	33.09320877273957
46.0	29.195635773383856
47.0	25.529025023518727
48.0	22.131031311187883
49.0	19.02381512223228
50.0	16.220900002951453
51.0	13.72538373054563
