#Coverage	Number of genomic locations
0.0	2.38960329E8
1.0	520491.0
2.0	475024.0
3.0	474722.0
4.0	505887.0
5.0	578443.0
6.0	700061.0
7.0	880943.0
8.0	1156965.0
9.0	1521236.0
10.0	1987591.0
11.0	2570147.0
12.0	3262809.0
13.0	4020601.0
14.0	4879264.0
15.0	5784883.0
16.0	6715435.0
17.0	7699946.0
18.0	8680499.0
19.0	9654558.0
20.0	1.0670225E7
21.0	1.1712029E7
22.0	1.2825316E7
23.0	1.4052495E7
24.0	1.5456922E7
25.0	1.7083068E7
26.0	1.8934549E7
27.0	2.1148498E7
28.0	2.3672611E7
29.0	2.6627741E7
30.0	2.9961609E7
31.0	3.3710917E7
32.0	3.7810497E7
33.0	4.2236096E7
34.0	4.6963003E7
35.0	5.187847E7
36.0	5.692376E7
37.0	6.1943744E7
38.0	6.6909375E7
39.0	7.1646073E7
40.0	7.6106602E7
41.0	8.0148179E7
42.0	8.3737539E7
43.0	8.6721792E7
44.0	8.9150594E7
45.0	9.0857862E7
46.0	9.1919777E7
47.0	9.2265626E7
48.0	9.1927217E7
49.0	9.0935576E7
50.0	8.9297888E7
51.0	8.7040084E7
52.0	8.4335379E7
53.0	8.1137924E7
54.0	7.7624953E7
55.0	7.3736898E7
56.0	6.9670499E7
57.0	6.5465206E7
58.0	6.1123609E7
59.0	5.6801538E7
60.0	5.2469355E7
61.0	4.8271952E7
62.0	4.4139724E7
63.0	4.0153461E7
64.0	3.6410526E7
65.0	3.2813133E7
66.0	2.9458167E7
67.0	2.6329479E7
68.0	2.3429653E7
69.0	2.0793545E7
70.0	1.8385034E7
71.0	1.6190073E7
72.0	1.4198417E7
73.0	1.2423274E7
74.0	1.0840804E7
75.0	9418859.0
76.0	8183638.0
77.0	7082819.0
78.0	6120308.0
79.0	5273116.0
80.0	4540121.0
81.0	3903978.0
82.0	3355410.0
83.0	2880463.0
84.0	2477091.0
85.0	2120363.0
86.0	1826949.0
87.0	1572796.0
88.0	1361766.0
89.0	1180368.0
90.0	1024546.0
91.0	893583.0
92.0	784800.0
93.0	694940.0
94.0	613495.0
95.0	546476.0
96.0	491401.0
97.0	447290.0
98.0	404636.0
99.0	371800.0
100.0	342588.0
101.0	318856.0
102.0	297211.0
103.0	277365.0
104.0	262243.0
105.0	248910.0
106.0	236194.0
107.0	224402.0
108.0	214754.0
109.0	206491.0
110.0	197774.0
111.0	190480.0
112.0	184300.0
113.0	177479.0
114.0	172605.0
115.0	167998.0
116.0	161800.0
117.0	156925.0
118.0	153499.0
119.0	149667.0
120.0	144939.0
121.0	142265.0
122.0	138131.0
123.0	135593.0
124.0	131929.0
125.0	129705.0
126.0	126152.0
127.0	122551.0
128.0	119803.0
129.0	117480.0
130.0	115166.0
131.0	112842.0
132.0	110335.0
133.0	108197.0
134.0	105293.0
135.0	103603.0
136.0	101658.0
137.0	99579.0
138.0	97640.0
139.0	95391.0
140.0	94213.0
141.0	92142.0
142.0	91190.0
143.0	89282.0
144.0	87759.0
145.0	86002.0
146.0	85267.0
147.0	82963.0
148.0	81765.0
149.0	79361.0
150.0	78361.0
151.0	77576.0
152.0	75488.0
153.0	74039.0
154.0	73697.0
155.0	72203.0
156.0	70831.0
157.0	69695.0
158.0	68476.0
159.0	67330.0
160.0	66537.0
161.0	64603.0
162.0	64315.0
163.0	62706.0
164.0	61875.0
165.0	60629.0
166.0	59844.0
167.0	58845.0
168.0	57922.0
169.0	57060.0
170.0	55550.0
171.0	55169.0
172.0	54540.0
173.0	52926.0
174.0	51779.0
175.0	51249.0
176.0	50470.0
177.0	49783.0
178.0	49090.0
179.0	47573.0
180.0	47225.0
181.0	46409.0
182.0	45466.0
183.0	44571.0
184.0	43991.0
185.0	44339.0
186.0	43296.0
187.0	42539.0
188.0	42391.0
189.0	41869.0
190.0	40909.0
191.0	41041.0
192.0	40204.0
193.0	39826.0
194.0	39123.0
195.0	38756.0
196.0	38488.0
197.0	38079.0
198.0	37257.0
199.0	37322.0
200.0	36945.0
201.0	35884.0
202.0	35536.0
203.0	35274.0
204.0	34554.0
205.0	33663.0
206.0	33272.0
207.0	32938.0
208.0	32626.0
209.0	32621.0
210.0	32030.0
211.0	31380.0
212.0	30888.0
213.0	30796.0
214.0	30626.0
215.0	30186.0
216.0	29929.0
217.0	29186.0
218.0	29082.0
219.0	28439.0
220.0	28419.0
221.0	28329.0
222.0	28111.0
223.0	27467.0
224.0	27098.0
225.0	27361.0
226.0	26587.0
227.0	26164.0
228.0	26120.0
229.0	25655.0
230.0	25551.0
231.0	25133.0
232.0	24989.0
233.0	24383.0
234.0	24347.0
235.0	24297.0
236.0	24155.0
237.0	23873.0
238.0	23246.0
239.0	23159.0
240.0	22827.0
241.0	22961.0
242.0	22416.0
243.0	22565.0
244.0	22080.0
245.0	22039.0
246.0	22031.0
247.0	21460.0
248.0	21149.0
249.0	20946.0
250.0	20901.0
251.0	20541.0
252.0	20058.0
253.0	20117.0
254.0	19829.0
255.0	19436.0
256.0	18966.0
257.0	18773.0
258.0	18697.0
259.0	18511.0
260.0	18152.0
261.0	18011.0
262.0	17592.0
263.0	17451.0
264.0	17233.0
265.0	16960.0
266.0	16690.0
267.0	16449.0
268.0	16117.0
269.0	15740.0
270.0	15593.0
271.0	15640.0
272.0	15367.0
273.0	15206.0
274.0	15015.0
275.0	14855.0
276.0	14934.0
277.0	14655.0
278.0	14024.0
279.0	14180.0
280.0	13905.0
281.0	13697.0
282.0	13375.0
283.0	13407.0
284.0	12923.0
285.0	13071.0
286.0	12617.0
287.0	12667.0
288.0	12363.0
289.0	12197.0
290.0	12078.0
291.0	11944.0
292.0	11538.0
293.0	11579.0
294.0	11622.0
295.0	11352.0
296.0	11223.0
297.0	11125.0
298.0	11155.0
299.0	10626.0
300.0	10659.0
301.0	10473.0
302.0	10335.0
303.0	10121.0
304.0	9809.0
305.0	9851.0
306.0	9754.0
307.0	9735.0
308.0	9559.0
309.0	9720.0
310.0	9540.0
311.0	9433.0
312.0	9279.0
313.0	9094.0
314.0	9137.0
315.0	9192.0
316.0	8853.0
317.0	8762.0
318.0	8817.0
319.0	8705.0
320.0	8613.0
321.0	8423.0
322.0	8255.0
323.0	8270.0
324.0	8174.0
325.0	8050.0
326.0	8031.0
327.0	7931.0
328.0	7857.0
329.0	7802.0
330.0	7759.0
331.0	7586.0
332.0	7582.0
333.0	7708.0
334.0	7639.0
335.0	7409.0
336.0	7334.0
337.0	7223.0
338.0	7290.0
339.0	7204.0
340.0	7184.0
341.0	7223.0
342.0	6962.0
343.0	6961.0
344.0	6755.0
345.0	6681.0
346.0	6532.0
347.0	6444.0
348.0	6351.0
349.0	6398.0
350.0	6411.0
351.0	6360.0
352.0	6354.0
353.0	5995.0
354.0	6027.0
355.0	6057.0
356.0	6056.0
357.0	5816.0
358.0	5804.0
359.0	5849.0
360.0	5622.0
361.0	5580.0
362.0	5542.0
363.0	5482.0
364.0	5558.0
365.0	5471.0
366.0	5400.0
367.0	5445.0
368.0	5328.0
369.0	5298.0
370.0	5090.0
371.0	5258.0
372.0	5235.0
373.0	4935.0
374.0	4998.0
375.0	5090.0
376.0	4989.0
377.0	4963.0
378.0	4901.0
379.0	4960.0
380.0	4799.0
381.0	4867.0
382.0	4746.0
383.0	4793.0
384.0	4621.0
385.0	4554.0
386.0	4503.0
387.0	4481.0
388.0	4603.0
389.0	4499.0
390.0	4601.0
391.0	4523.0
392.0	4587.0
393.0	4620.0
394.0	4471.0
395.0	4601.0
396.0	4541.0
397.0	4486.0
398.0	4401.0
399.0	4365.0
400.0	4451.0
401.0	4348.0
402.0	4252.0
403.0	4285.0
404.0	4209.0
405.0	4196.0
406.0	4165.0
407.0	4202.0
408.0	4190.0
409.0	4161.0
410.0	4119.0
411.0	4140.0
412.0	4091.0
413.0	4272.0
414.0	4188.0
415.0	4245.0
416.0	4112.0
417.0	4073.0
418.0	4017.0
419.0	4052.0
420.0	4114.0
421.0	3946.0
422.0	3941.0
423.0	3758.0
424.0	3803.0
425.0	3763.0
426.0	3703.0
427.0	3604.0
428.0	3688.0
429.0	3769.0
430.0	3663.0
431.0	3711.0
432.0	3594.0
433.0	3756.0
434.0	3682.0
435.0	3605.0
436.0	3627.0
437.0	3630.0
438.0	3676.0
439.0	3567.0
440.0	3485.0
441.0	3420.0
442.0	3420.0
443.0	3421.0
444.0	3521.0
445.0	3338.0
446.0	3371.0
447.0	3321.0
448.0	3333.0
449.0	3354.0
450.0	3289.0
451.0	3293.0
452.0	3204.0
453.0	3244.0
