#Duplication rate	Coverage
1.0	3.99374705E8
2.0	1.36767784E8
3.0	4.3694772E7
4.0	1.3567487E7
5.0	4151048.0
6.0	1325581.0
7.0	454891.0
8.0	190635.0
9.0	100233.0
10.0	66367.0
11.0	50464.0
12.0	40947.0
13.0	34673.0
14.0	29956.0
15.0	26153.0
16.0	23312.0
17.0	20854.0
18.0	18831.0
19.0	17089.0
20.0	15632.0
21.0	14414.0
22.0	13394.0
23.0	12602.0
24.0	11706.0
25.0	10963.0
26.0	10260.0
27.0	9594.0
28.0	8990.0
29.0	8673.0
30.0	8014.0
31.0	7669.0
32.0	7288.0
33.0	7002.0
34.0	6791.0
35.0	6643.0
36.0	6322.0
37.0	6000.0
38.0	5894.0
39.0	5486.0
40.0	5330.0
41.0	5072.0
42.0	5021.0
43.0	4851.0
44.0	4498.0
45.0	4495.0
46.0	4377.0
47.0	4207.0
48.0	4011.0
49.0	3889.0
50.0	206380.0
