#Insert size (bp)	insert size
0.0	1.8001173E7
1.0	9346.0
2.0	6841.0
3.0	7132.0
4.0	7037.0
5.0	7216.0
6.0	6988.0
7.0	6870.0
8.0	6968.0
9.0	6974.0
10.0	6924.0
11.0	6920.0
12.0	6951.0
13.0	6946.0
14.0	7153.0
15.0	6739.0
16.0	6736.0
17.0	6686.0
18.0	6637.0
19.0	6426.0
20.0	6371.0
21.0	6411.0
22.0	6397.0
23.0	6105.0
24.0	6106.0
25.0	5981.0
26.0	6024.0
27.0	6300.0
28.0	6373.0
29.0	6545.0
30.0	6997.0
31.0	7061.0
32.0	7228.0
33.0	7197.0
34.0	7327.0
35.0	7945.0
36.0	8286.0
37.0	8459.0
38.0	8339.0
39.0	8654.0
40.0	8445.0
41.0	8828.0
42.0	9810.0
43.0	11626.0
44.0	14746.0
45.0	15692.0
46.0	19106.0
47.0	20830.0
48.0	21538.0
49.0	22696.0
50.0	22498.0
51.0	24480.0
52.0	23465.0
53.0	24380.0
54.0	25563.0
55.0	25066.0
56.0	26573.0
57.0	26074.0
58.0	26301.0
59.0	27531.0
60.0	27763.0
61.0	30187.0
62.0	29393.0
63.0	31945.0
64.0	32430.0
65.0	36026.0
66.0	38470.0
67.0	32629.0
68.0	33013.0
69.0	35823.0
70.0	42864.0
71.0	32475.0
72.0	30741.0
73.0	32559.0
74.0	35271.0
75.0	31993.0
76.0	32020.0
77.0	35178.0
78.0	33872.0
79.0	31994.0
80.0	30874.0
81.0	41522.0
82.0	34055.0
83.0	33902.0
84.0	36033.0
85.0	36622.0
86.0	37640.0
87.0	35440.0
88.0	42727.0
89.0	39133.0
90.0	38482.0
91.0	38799.0
92.0	39484.0
93.0	39780.0
94.0	40767.0
95.0	42834.0
96.0	43024.0
97.0	47440.0
98.0	44544.0
99.0	49558.0
100.0	47216.0
101.0	44959.0
102.0	46016.0
103.0	55048.0
104.0	49601.0
105.0	50584.0
106.0	60882.0
107.0	51301.0
108.0	52640.0
109.0	55226.0
110.0	67810.0
111.0	51570.0
112.0	52475.0
113.0	51942.0
114.0	55201.0
115.0	51795.0
116.0	54217.0
117.0	46819.0
118.0	50295.0
119.0	51100.0
120.0	53425.0
121.0	55014.0
122.0	51000.0
123.0	53937.0
124.0	52556.0
125.0	49361.0
126.0	48723.0
127.0	48498.0
128.0	51204.0
129.0	50823.0
130.0	49703.0
131.0	50974.0
132.0	51978.0
133.0	53690.0
134.0	56087.0
135.0	61418.0
136.0	56915.0
137.0	59446.0
138.0	62042.0
139.0	70862.0
140.0	64055.0
141.0	63645.0
142.0	67584.0
143.0	65735.0
144.0	66794.0
145.0	69019.0
146.0	70700.0
147.0	70238.0
148.0	72958.0
149.0	84226.0
150.0	83960.0
151.0	75405.0
152.0	70898.0
153.0	75232.0
154.0	88536.0
155.0	74077.0
156.0	68575.0
157.0	73125.0
158.0	70896.0
159.0	72663.0
160.0	71925.0
161.0	71217.0
162.0	72753.0
163.0	74367.0
164.0	75197.0
165.0	76473.0
166.0	78231.0
167.0	81750.0
168.0	81691.0
169.0	82770.0
170.0	84046.0
171.0	85528.0
172.0	86205.0
173.0	89820.0
174.0	92321.0
175.0	92353.0
176.0	102413.0
177.0	96370.0
178.0	96678.0
179.0	99031.0
180.0	101331.0
181.0	103552.0
182.0	108597.0
183.0	106901.0
184.0	110336.0
185.0	114912.0
186.0	114605.0
187.0	117031.0
188.0	121943.0
189.0	123878.0
190.0	126325.0
191.0	129782.0
192.0	134101.0
193.0	135628.0
194.0	138490.0
195.0	142055.0
196.0	153045.0
197.0	149681.0
198.0	157424.0
199.0	160125.0
200.0	162304.0
201.0	164971.0
202.0	168839.0
203.0	173223.0
204.0	175015.0
205.0	182452.0
206.0	184316.0
207.0	189836.0
208.0	194237.0
209.0	199969.0
210.0	203043.0
211.0	208575.0
212.0	213030.0
213.0	218725.0
214.0	223632.0
215.0	230183.0
216.0	235717.0
217.0	241855.0
218.0	249266.0
219.0	253797.0
220.0	264133.0
221.0	267689.0
222.0	275036.0
223.0	282073.0
224.0	288762.0
225.0	295520.0
226.0	302516.0
227.0	310498.0
228.0	319485.0
229.0	330571.0
230.0	337961.0
231.0	344154.0
232.0	353267.0
233.0	363924.0
234.0	370360.0
235.0	379134.0
236.0	390848.0
237.0	406603.0
238.0	413716.0
239.0	427444.0
240.0	435438.0
241.0	447340.0
242.0	458723.0
243.0	469577.0
244.0	477861.0
245.0	485798.0
246.0	498547.0
247.0	511247.0
248.0	525133.0
249.0	537269.0
250.0	551265.0
251.0	565317.0
252.0	586753.0
253.0	590544.0
254.0	608089.0
255.0	618257.0
256.0	636755.0
257.0	647157.0
258.0	667637.0
259.0	683647.0
260.0	699168.0
261.0	717954.0
262.0	735968.0
263.0	751534.0
264.0	773691.0
265.0	785961.0
266.0	806782.0
267.0	845449.0
268.0	840827.0
269.0	860692.0
270.0	879386.0
271.0	903461.0
272.0	920383.0
273.0	938335.0
274.0	959175.0
275.0	977075.0
276.0	995722.0
277.0	1021106.0
278.0	1035307.0
279.0	1057283.0
280.0	1079909.0
281.0	1105791.0
282.0	1125425.0
283.0	1159699.0
284.0	1173623.0
285.0	1189829.0
286.0	1213089.0
287.0	1235459.0
288.0	1264778.0
289.0	1289746.0
290.0	1313375.0
291.0	1344976.0
292.0	1373694.0
293.0	1397133.0
294.0	1418890.0
295.0	1440694.0
296.0	1470338.0
297.0	1491018.0
298.0	1524486.0
299.0	1545989.0
300.0	1570480.0
301.0	1604525.0
302.0	1630562.0
303.0	1657752.0
304.0	1681900.0
305.0	1707638.0
306.0	1733856.0
307.0	1759946.0
308.0	1783925.0
309.0	1813355.0
310.0	1841408.0
311.0	1872526.0
312.0	1900889.0
313.0	1929680.0
314.0	1956489.0
315.0	1977273.0
316.0	1998574.0
317.0	2026042.0
318.0	2045046.0
319.0	2073348.0
320.0	2101399.0
321.0	2126702.0
322.0	2158247.0
323.0	2179485.0
324.0	2212964.0
325.0	2229097.0
326.0	2248880.0
327.0	2267450.0
328.0	2287982.0
329.0	2306480.0
330.0	2328601.0
331.0	2355608.0
332.0	2379421.0
333.0	2401911.0
334.0	2425546.0
335.0	2443990.0
336.0	2459789.0
337.0	2470442.0
338.0	2485869.0
339.0	2497171.0
340.0	2519173.0
341.0	2534202.0
342.0	2552325.0
343.0	2570688.0
344.0	2586029.0
345.0	2603093.0
346.0	2616419.0
347.0	2624902.0
348.0	2627310.0
349.0	2635831.0
350.0	2645621.0
351.0	2651649.0
352.0	2674397.0
353.0	2675382.0
354.0	2682531.0
355.0	2693288.0
356.0	2702933.0
357.0	2696062.0
358.0	2698028.0
359.0	2695184.0
360.0	2695636.0
361.0	2698117.0
362.0	2703588.0
363.0	2703953.0
364.0	2707757.0
365.0	2703999.0
366.0	2708622.0
367.0	2703325.0
368.0	2700843.0
369.0	2688540.0
370.0	2677696.0
371.0	2667056.0
372.0	2659514.0
373.0	2684710.0
374.0	2655309.0
375.0	2654925.0
376.0	2648952.0
377.0	2636256.0
378.0	2621704.0
379.0	2605782.0
380.0	2591910.0
381.0	2575134.0
382.0	2569313.0
383.0	2558068.0
384.0	2548641.0
385.0	2539204.0
386.0	2525288.0
387.0	2514678.0
388.0	2499123.0
389.0	2478014.0
390.0	2458485.0
391.0	2439341.0
392.0	2423244.0
393.0	2407281.0
394.0	2406679.0
395.0	2373820.0
396.0	2364497.0
397.0	2348255.0
398.0	2326666.0
399.0	2306296.0
400.0	2283504.0
401.0	2259744.0
402.0	2246251.0
403.0	2215594.0
404.0	2205287.0
405.0	2187554.0
406.0	2165056.0
407.0	2152368.0
408.0	2128617.0
409.0	2112988.0
410.0	2085166.0
411.0	2058922.0
412.0	2039981.0
413.0	2010789.0
414.0	1991769.0
415.0	1973790.0
416.0	1954230.0
417.0	1937023.0
418.0	1917546.0
419.0	1897956.0
420.0	1872661.0
421.0	1847752.0
422.0	1823351.0
423.0	1802235.0
424.0	1776962.0
425.0	1753126.0
426.0	1734474.0
427.0	1716473.0
428.0	1695806.0
429.0	1675947.0
430.0	1654416.0
431.0	1632256.0
432.0	1608714.0
433.0	1585523.0
434.0	1562545.0
435.0	1549602.0
436.0	1524862.0
437.0	1525601.0
438.0	1488091.0
439.0	1467741.0
440.0	1456284.0
441.0	1424463.0
442.0	1402737.0
443.0	1376315.0
444.0	1360677.0
445.0	1348140.0
446.0	1316877.0
447.0	1301463.0
448.0	1280831.0
449.0	1260512.0
450.0	1246895.0
451.0	1223620.0
452.0	1205107.0
453.0	1179700.0
454.0	1159121.0
455.0	1138699.0
456.0	1122059.0
457.0	1101602.0
458.0	1087718.0
459.0	1068213.0
460.0	1051995.0
461.0	1037525.0
462.0	1016584.0
463.0	998181.0
464.0	978840.0
465.0	963812.0
466.0	948949.0
467.0	933317.0
468.0	917093.0
469.0	901806.0
470.0	884723.0
471.0	869720.0
472.0	853566.0
473.0	838530.0
474.0	819439.0
475.0	807189.0
476.0	806661.0
477.0	775840.0
478.0	768017.0
479.0	750390.0
480.0	734205.0
481.0	721931.0
482.0	706833.0
483.0	694745.0
484.0	679043.0
485.0	673132.0
486.0	651763.0
487.0	640614.0
488.0	628492.0
489.0	614292.0
490.0	603028.0
491.0	593275.0
492.0	580522.0
493.0	570517.0
494.0	558334.0
495.0	544362.0
496.0	536492.0
497.0	521138.0
498.0	511211.0
499.0	502159.0
500.0	492936.0
501.0	482624.0
502.0	471148.0
503.0	461561.0
504.0	450891.0
505.0	440579.0
506.0	430043.0
507.0	419408.0
508.0	411160.0
509.0	403001.0
510.0	394333.0
511.0	385483.0
512.0	379752.0
513.0	370210.0
514.0	361473.0
515.0	354050.0
516.0	343778.0
517.0	336895.0
518.0	327854.0
519.0	321902.0
520.0	314475.0
521.0	308794.0
522.0	302299.0
523.0	294682.0
524.0	289458.0
525.0	282153.0
526.0	277072.0
527.0	269118.0
528.0	263935.0
529.0	257483.0
530.0	251177.0
531.0	244081.0
532.0	239167.0
533.0	235148.0
534.0	228609.0
535.0	224701.0
536.0	218058.0
537.0	211810.0
538.0	207562.0
539.0	202500.0
540.0	197118.0
541.0	191836.0
542.0	187983.0
543.0	182502.0
544.0	179001.0
545.0	174754.0
546.0	169937.0
547.0	166995.0
548.0	161319.0
549.0	157251.0
550.0	153404.0
551.0	150377.0
552.0	146004.0
553.0	142817.0
554.0	139934.0
555.0	138168.0
556.0	132576.0
557.0	128949.0
558.0	125439.0
559.0	123263.0
560.0	120024.0
561.0	116727.0
562.0	114323.0
563.0	111508.0
564.0	109313.0
565.0	106077.0
566.0	103043.0
567.0	100889.0
568.0	97527.0
569.0	95468.0
570.0	93728.0
571.0	89803.0
572.0	88138.0
573.0	86034.0
574.0	84610.0
575.0	89393.0
576.0	79946.0
577.0	77572.0
578.0	74990.0
579.0	73096.0
580.0	71565.0
581.0	69759.0
582.0	67897.0
583.0	66178.0
584.0	64211.0
585.0	63478.0
586.0	61692.0
587.0	59472.0
588.0	58947.0
589.0	56952.0
590.0	56840.0
591.0	53978.0
592.0	52898.0
593.0	52269.0
594.0	50229.0
595.0	49214.0
596.0	48371.0
597.0	46970.0
598.0	46107.0
599.0	44642.0
600.0	43673.0
601.0	43212.0
602.0	41912.0
603.0	41592.0
604.0	40359.0
605.0	38630.0
606.0	37995.0
607.0	36799.0
608.0	35829.0
609.0	36517.0
610.0	33699.0
611.0	33815.0
612.0	32211.0
613.0	31307.0
614.0	30762.0
615.0	30044.0
616.0	29309.0
617.0	28593.0
618.0	28128.0
619.0	27628.0
620.0	26696.0
621.0	26564.0
622.0	26117.0
623.0	25234.0
624.0	24312.0
625.0	24072.0
626.0	23628.0
627.0	22906.0
628.0	22248.0
629.0	21920.0
630.0	21596.0
631.0	20769.0
632.0	20356.0
633.0	20332.0
634.0	19259.0
635.0	18864.0
636.0	18712.0
637.0	17822.0
638.0	17587.0
639.0	17338.0
640.0	16952.0
641.0	16426.0
642.0	15905.0
643.0	15730.0
644.0	15632.0
645.0	15382.0
646.0	15199.0
647.0	14683.0
648.0	14389.0
649.0	14395.0
650.0	13709.0
651.0	13436.0
652.0	13732.0
653.0	13328.0
654.0	13628.0
655.0	13024.0
656.0	12591.0
657.0	12184.0
658.0	11866.0
659.0	11555.0
660.0	11466.0
661.0	12134.0
662.0	11192.0
663.0	11574.0
664.0	10714.0
665.0	11772.0
666.0	10540.0
667.0	10759.0
668.0	10387.0
669.0	10839.0
670.0	9964.0
671.0	9295.0
672.0	9359.0
673.0	9464.0
674.0	8788.0
675.0	8688.0
676.0	8444.0
677.0	8425.0
678.0	8200.0
679.0	8511.0
680.0	8059.0
681.0	7868.0
682.0	7575.0
683.0	7583.0
684.0	7417.0
685.0	7283.0
686.0	7350.0
687.0	7498.0
688.0	7415.0
689.0	7374.0
690.0	7183.0
691.0	6948.0
692.0	6638.0
693.0	6854.0
694.0	6584.0
695.0	5503.0
696.0	5100.0
697.0	4255.0
698.0	4024.0
699.0	3661.0
700.0	3481.0
701.0	3406.0
702.0	3168.0
703.0	3128.0
704.0	3006.0
705.0	3175.0
706.0	2907.0
707.0	2896.0
708.0	2827.0
709.0	2753.0
710.0	2669.0
711.0	2663.0
712.0	2578.0
713.0	2452.0
714.0	2466.0
715.0	2463.0
716.0	2286.0
717.0	2321.0
718.0	2297.0
719.0	2258.0
720.0	2249.0
721.0	2211.0
722.0	2064.0
723.0	2069.0
724.0	2038.0
725.0	1902.0
726.0	1946.0
727.0	1966.0
728.0	1794.0
729.0	1882.0
730.0	1759.0
731.0	1684.0
732.0	1710.0
733.0	1689.0
734.0	1647.0
735.0	1637.0
736.0	1611.0
737.0	1540.0
738.0	1591.0
739.0	1506.0
740.0	1493.0
741.0	1512.0
742.0	1540.0
743.0	1418.0
744.0	1424.0
745.0	1410.0
746.0	1410.0
747.0	1356.0
748.0	1299.0
749.0	1381.0
750.0	1215.0
751.0	1272.0
752.0	1326.0
753.0	1227.0
754.0	1233.0
755.0	1290.0
756.0	1283.0
757.0	1328.0
758.0	1193.0
759.0	1045.0
760.0	1144.0
761.0	1006.0
762.0	1057.0
763.0	1050.0
764.0	1113.0
765.0	1008.0
766.0	921.0
767.0	938.0
768.0	938.0
769.0	940.0
770.0	949.0
771.0	924.0
772.0	854.0
773.0	866.0
774.0	894.0
775.0	875.0
776.0	816.0
777.0	1033.0
778.0	854.0
779.0	811.0
780.0	818.0
781.0	808.0
782.0	788.0
783.0	811.0
784.0	725.0
785.0	755.0
786.0	842.0
787.0	690.0
788.0	937.0
789.0	693.0
790.0	761.0
791.0	689.0
792.0	644.0
793.0	674.0
794.0	704.0
795.0	713.0
796.0	692.0
797.0	668.0
798.0	693.0
799.0	668.0
800.0	661.0
801.0	620.0
802.0	618.0
803.0	565.0
804.0	568.0
805.0	542.0
806.0	556.0
807.0	561.0
808.0	566.0
809.0	548.0
810.0	625.0
811.0	598.0
812.0	522.0
813.0	586.0
814.0	634.0
815.0	483.0
816.0	520.0
817.0	529.0
818.0	527.0
819.0	494.0
820.0	563.0
821.0	555.0
822.0	573.0
823.0	556.0
824.0	561.0
825.0	513.0
826.0	562.0
827.0	524.0
828.0	467.0
829.0	513.0
830.0	549.0
