#GC Content (%)	Sample	HUMAN (hg19)
1.0	1.4334934352064634E-5	0.0
2.0	1.3481748392104072E-5	3.0E-6
3.0	2.300076530075496E-5	3.0E-6
4.0	5.300329637209536E-5	1.0E-5
5.0	7.577842571649712E-5	8.0E-6
6.0	6.303704530617701E-5	1.2000000000000002E-5
7.0	6.075248124810078E-5	6.999999999999999E-6
8.0	5.705769246281702E-5	9.999999999999999E-6
9.0	5.236869524485196E-5	1.6E-5
10.0	6.896704028408471E-5	1.5000000000000002E-5
11.0	6.204283687349569E-5	1.9999999999999998E-5
12.0	7.068046332764186E-5	1.6E-5
13.0	8.596024824693554E-5	1.6E-5
14.0	1.0917959838040766E-4	2.4999999999999998E-5
15.0	1.5576637224370873E-4	2.2000000000000003E-5
16.0	2.1967070575711832E-4	2.6999999999999996E-5
17.0	3.4294550028596537E-4	3.3E-5
18.0	5.423019188476591E-4	3.7000000000000005E-5
19.0	9.706788331078572E-4	4.7000000000000004E-5
20.0	0.0018420919476675756	5.4999999999999995E-5
21.0	0.0029682410058264283	6.400000000000001E-5
22.0	0.004534993626630368	9.3E-5
23.0	0.005689213207984287	1.66E-4
24.0	0.007172903592355703	3.03E-4
25.0	0.010634123907195705	7.059999999999999E-4
26.0	0.011352111622558881	0.0016020000000000001
27.0	0.015687198842983942	0.0033690000000000005
28.0	0.01910949695535302	0.006167999999999999
29.0	0.022520604934511704	0.010352
30.0	0.0257468959120462	0.015647
31.0	0.028788546166047417	0.022148
32.0	0.03165857912187112	0.028808
33.0	0.03428271119201163	0.035106000000000005
34.0	0.036774662898470985	0.041161
35.0	0.03923606913733902	0.047408
36.0	0.04185371417373439	0.052698999999999996
37.0	0.04388945112981846	0.057517000000000006
38.0	0.044558447638158444	0.061487999999999994
39.0	0.04395478684142998	0.063321
40.0	0.04256477768568697	0.060248
41.0	0.040336016220066356	0.055508
42.0	0.03730541507680281	0.051446000000000006
43.0	0.03409548270610392	0.048194
44.0	0.03120884435411736	0.044423
45.0	0.029043585307962902	0.040655000000000004
46.0	0.027528186020600226	0.03652
47.0	0.02643292793509085	0.032315
48.0	0.02566799383855894	0.028137999999999996
49.0	0.025054447366492753	0.02458
50.0	0.02454357230569092	0.020810000000000002
51.0	0.026175935631928188	0.017532
52.0	0.020342216696146945	0.014506999999999997
53.0	0.02073968853551039	0.012007
54.0	0.018253821948748934	0.010018
55.0	0.015593235569410103	0.008414999999999999
56.0	0.01310338509779429	0.007258
57.0	0.01088152668221336	0.006174999999999999
58.0	0.009034752788451453	0.005363000000000001
59.0	0.007510765232500083	0.0046159999999999994
60.0	0.0062891087046911005	0.003946
61.0	0.0053387441587786685	0.0034579999999999993
62.0	0.004551535562680513	0.002915
63.0	0.003881587152649663	0.0024610000000000005
64.0	0.0033003489290838036	0.0019950000000000002
65.0	0.002767890378832053	0.0016779999999999998
66.0	0.0023076917436024172	0.0013500000000000003
67.0	0.001893614508076103	0.001069
68.0	0.0015449999043867636	8.119999999999999E-4
69.0	0.0012439944874879502	6.4E-4
70.0	9.975929720266131E-4	5.05E-4
71.0	8.006903444902605E-4	4.0299999999999993E-4
72.0	6.528000773480059E-4	3.2E-4
73.0	5.413218126622499E-4	2.79E-4
74.0	4.454970424484976E-4	2.0700000000000002E-4
75.0	3.777921532952637E-4	2.0099999999999998E-4
76.0	3.184357945270983E-4	1.54E-4
77.0	2.773771015944508E-4	1.12E-4
78.0	2.4798801827944576E-4	7.699999999999999E-5
79.0	2.125772753792644E-4	6.3E-5
80.0	1.8472533701691552E-4	3.7E-5
81.0	1.5170492502935103E-4	2.8000000000000003E-5
82.0	1.2526321139420964E-4	1.6E-5
83.0	1.0517456015513826E-4	9.0E-6
84.0	8.519167577060743E-5	4.0E-6
85.0	6.699272566599414E-5	0.0
86.0	5.161422501579593E-5	1.0E-6
87.0	3.7011347965561863E-5	0.0
88.0	2.3289861369832503E-5	0.0
89.0	1.3545208504828413E-5	0.0
90.0	9.335687694113909E-6	0.0
91.0	1.0597838824964655E-5	0.0
92.0	1.208562591216861E-5	0.0
93.0	2.0659792253590446E-5	0.0
94.0	4.0029228881785994E-5	0.0
95.0	6.0287107088122286E-5	0.0
96.0	7.800658078548501E-5	0.0
97.0	7.594060156012598E-5	0.0
98.0	5.681090313555571E-5	0.0
99.0	4.323749013618315E-5	0.0
100.0	4.447848789612578E-5	0.0
